algo_variant,headroom_success,headroom_success_lo,headroom_success_hi,headroom_value,headroom_value_lo,headroom_value_hi,recovers_signal
WOA,0.03557250000000002,0.026666666666666658,0.045,0.19656670022341616,0.18674035914726092,0.2062797863447293,False
FA,0.0,0.0,0.0,0.18796722882451253,0.17938436526099202,0.19648996501574978,True
MFO,0.0,0.0,0.0,0.13392919849010163,0.12258447527241938,0.14504038885835338,True
GWO,0.1305033333333332,0.11500000000000002,0.14833333333333334,0.11170646703489553,0.09038289952545091,0.12912207639946421,False
BA,0.0,0.0,0.0,0.1082474926120309,0.08393183828358036,0.1326918888019837,True
ALO,0.0,0.0,0.0,0.036264396714999085,0.01275478067810517,0.06010377736333258,True
