algo_variant,target,budget,beta_mean,beta_lo,beta_hi,value_score,value_lo,value_hi
ALO,easy,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.05320535731370175,0.04112876945103768,0.06514072020352069
ALO,easy,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.058590757154157284,0.04415161629622629,0.07308776380136779
ALO,easy,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.08840999923417947,0.07108207668564706,0.10683892520333886
ALO,easy,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.08946975402870093,0.07427579951947934,0.10529150367675454
ALO,hard,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.05320535731370175,0.04112876945103768,0.06514072020352069
ALO,hard,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.058590757154157284,0.04415161629622629,0.07308776380136779
ALO,hard,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.08840999923417947,0.07108207668564706,0.10683892520333886
ALO,hard,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.08946975402870093,0.07427579951947934,0.10529150367675454
ALO,med,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.05320535731370175,0.04112876945103768,0.06514072020352069
ALO,med,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.058590757154157284,0.04415161629622629,0.07308776380136779
ALO,med,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.08840999923417947,0.07108207668564706,0.10683892520333886
ALO,med,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.08946975402870093,0.07427579951947934,0.10529150367675454
BA,easy,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.07190034981579345,0.05800260739134383,0.08617864257327652
BA,easy,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.11541013686735035,0.0967622917631515,0.1353568117380973
BA,easy,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.1447715331428298,0.1261643398326409,0.16177238902942068
BA,easy,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.18014784242782428,0.1626256868139905,0.19930185618155474
BA,hard,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.07190034981579345,0.05800260739134383,0.08617864257327652
BA,hard,500,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.11541013686735035,0.0967622917631515,0.1353568117380973
BA,hard,800,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.1447715331428298,0.1261643398326409,0.16177238902942068
BA,hard,1000,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.18014784242782428,0.1626256868139905,0.19930185618155474
BA,med,300,0.08333333333333295,0.0833333333333333,0.0833333333333333,0.07190034981579345,0.05800260739134383,0.08617864257327652
