instance_id,problem,domain,budget,target,algo_variant,algo_base,run_idx,best,success,evals
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,13,18.316282157342698,1,380
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,14,16.725325339168105,1,220
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,15,18.752154599757315,1,460
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,16,15.153764387273815,1,320
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,17,16.69900162335677,1,400
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,18,17.403006131517916,1,480
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,19,18.225587266752015,1,400
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,20,15.743244470955165,1,300
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,21,19.599101599585108,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,22,16.233552585234538,1,360
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,23,18.62276619124061,1,360
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,24,17.83690300055476,1,300
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,25,18.765262594875924,1,300
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,26,16.388184129257098,1,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,27,17.27190314245429,1,440
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,28,18.673121956979752,1,340
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",PSO_STD,29,17.507502295358744,1,360
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,0,25.465314788437112,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,1,35.07456614807299,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,2,19.079378327132215,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,3,23.598142496542145,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,4,28.44045307070605,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,5,19.505726381928085,0,500
sphere_d20_i000,sphere,cont,500,18.949186685442285,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",PSO_STD,6,20.968250104554443,0,500
