instance_id,problem,domain,budget,target,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
0,ackley,cont,200,easy,ALO,ALO,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,8.32511732745787,8.31699114586349,7.213511652527304,9.443370408488136
0,ackley,cont,200,easy,BA,BA,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,8.118479153380672,8.154056021446344,6.816496700631449,9.080012359021604
0,ackley,cont,200,easy,ES_1P1,ES_1P1,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,3.300351334142512,3.2675365612565614,1.9095172459945364,4.525622726639636
0,ackley,cont,200,easy,FA,FA,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,6.7709037267700705,6.85818847224932,5.509687786803191,7.608350219333742
0,ackley,cont,200,easy,GWO,GWO,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,3.2000152098601418,3.0690422815823983,2.1755068154712918,4.331046638144123
0,ackley,cont,200,easy,MFO,MFO,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,6.0669771845289615,6.153902070414457,4.6368922849305925,7.851244953964999
0,ackley,cont,200,easy,PSO_GBEST,PSO_GBEST,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,5.4827778876041195,5.499697921273603,3.5253002440788,6.440683172009937
0,ackley,cont,200,easy,WOA,WOA,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,6.389080634713631,6.623135707558642,3.877297456268452,8.03864279473877
0,ackley,cont,200,hard,ALO,ALO,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,8.32511732745787,8.31699114586349,7.213511652527304,9.443370408488136
0,ackley,cont,200,hard,BA,BA,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,8.118479153380672,8.154056021446344,6.816496700631449,9.080012359021604
0,ackley,cont,200,hard,ES_1P1,ES_1P1,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,3.300351334142512,3.2675365612565614,1.9095172459945364,4.525622726639636
0,ackley,cont,200,hard,FA,FA,0,20,0.0,0.045454545454545456,0.002439557259668857,0.13294591102652337,6.7709037267700705,6.85818847224932,5.509687786803191,7.608350219333742
