instance_id,problem,domain,budget,algo_variant,algo_base,seed,best
0,sphere,cont,200,MFO,MFO,35007418,14.837423735521142
0,sphere,cont,200,MFO,MFO,35007419,18.081198842344126
0,sphere,cont,200,WOA,WOA,264007400,22.36534625934367
0,sphere,cont,200,WOA,WOA,264007401,12.354882969030191
0,sphere,cont,200,WOA,WOA,264007402,14.459160305034446
0,sphere,cont,200,WOA,WOA,264007403,24.184316477347544
0,sphere,cont,200,WOA,WOA,264007404,23.083467322619185
0,sphere,cont,200,WOA,WOA,264007405,7.191803093748906
0,sphere,cont,200,WOA,WOA,264007406,17.501519305327502
0,sphere,cont,200,WOA,WOA,264007407,20.35805181828054
0,sphere,cont,200,WOA,WOA,264007408,27.067335598277843
0,sphere,cont,200,WOA,WOA,264007409,7.438106389170804
0,sphere,cont,200,WOA,WOA,264007410,15.715299431014884
0,sphere,cont,200,WOA,WOA,264007411,11.24123336970065
0,sphere,cont,200,WOA,WOA,264007412,29.540337953051385
0,sphere,cont,200,WOA,WOA,264007413,10.379364914954003
0,sphere,cont,200,WOA,WOA,264007414,17.533943874059084
0,sphere,cont,200,WOA,WOA,264007415,10.49376891637674
0,sphere,cont,200,WOA,WOA,264007416,20.201487395002278
0,sphere,cont,200,WOA,WOA,264007417,11.970653500142284
0,sphere,cont,200,WOA,WOA,264007418,10.928009493765748
0,sphere,cont,200,WOA,WOA,264007419,29.968143152730246
0,sphere,cont,200,FA,FA,88007400,26.061763318872014
0,sphere,cont,200,FA,FA,88007401,7.452726266472682
0,sphere,cont,200,FA,FA,88007402,14.26386676317731
0,sphere,cont,200,FA,FA,88007403,33.609629453051696
0,sphere,cont,200,FA,FA,88007404,19.91012528343886
0,sphere,cont,200,FA,FA,88007405,21.16562281952891
0,sphere,cont,200,FA,FA,88007406,15.511555516144355
0,sphere,cont,200,FA,FA,88007407,24.370375145224333
0,sphere,cont,200,FA,FA,88007408,10.973261097928665
0,sphere,cont,200,FA,FA,88007409,12.33336890828246
0,sphere,cont,200,FA,FA,88007410,21.43269288261284
0,sphere,cont,200,FA,FA,88007411,27.55747910453688
0,sphere,cont,200,FA,FA,88007412,20.4442648313898
0,sphere,cont,200,FA,FA,88007413,22.51497097097967
0,sphere,cont,200,FA,FA,88007414,24.887094840808548
0,sphere,cont,200,FA,FA,88007415,28.98435847234935
0,sphere,cont,200,FA,FA,88007416,29.389150316924567
0,sphere,cont,200,FA,FA,88007417,11.003157809471466
0,sphere,cont,200,FA,FA,88007418,26.64198876299359
0,sphere,cont,200,FA,FA,88007419,21.414720446720274
0,sphere,cont,200,BA,BA,796007400,55.319025699643674
0,sphere,cont,200,BA,BA,796007401,46.11669615058368
0,sphere,cont,200,BA,BA,796007402,44.73473632493238
0,sphere,cont,200,BA,BA,796007403,24.332144578329263
0,sphere,cont,200,BA,BA,796007404,34.27234671467626
0,sphere,cont,200,BA,BA,796007405,52.81063262299873
0,sphere,cont,200,BA,BA,796007406,32.82018919497109
0,sphere,cont,200,BA,BA,796007407,44.30967604644769
0,sphere,cont,200,BA,BA,796007408,47.066623999065136
0,sphere,cont,200,BA,BA,796007409,39.69960817881919
0,sphere,cont,200,BA,BA,796007410,26.175520661492417
0,sphere,cont,200,BA,BA,796007411,20.821998157567382
0,sphere,cont,200,BA,BA,796007412,32.7732367969728
0,sphere,cont,200,BA,BA,796007413,46.61366282016294
0,sphere,cont,200,BA,BA,796007414,39.537298150425606
0,sphere,cont,200,BA,BA,796007415,31.929253663412027
0,sphere,cont,200,BA,BA,796007416,56.428420554542726
0,sphere,cont,200,BA,BA,796007417,41.17521041809444
0,sphere,cont,200,BA,BA,796007418,11.461764639358552
0,sphere,cont,200,BA,BA,796007419,31.116211176643834
0,sphere,cont,200,ALO,ALO,165007400,50.27943046645399
0,sphere,cont,200,ALO,ALO,165007401,39.9712294813963
0,sphere,cont,200,ALO,ALO,165007402,34.1026918390046
0,sphere,cont,200,ALO,ALO,165007403,41.191922909460615
0,sphere,cont,200,ALO,ALO,165007404,44.545246588849736
0,sphere,cont,200,ALO,ALO,165007405,38.91300058166332
0,sphere,cont,200,ALO,ALO,165007406,23.66332158396914
0,sphere,cont,200,ALO,ALO,165007407,42.96144272396778
0,sphere,cont,200,ALO,ALO,165007408,48.35707806264002
0,sphere,cont,200,ALO,ALO,165007409,27.18346491913544
0,sphere,cont,200,ALO,ALO,165007410,46.84752527972703
0,sphere,cont,200,ALO,ALO,165007411,38.673451357621765
0,sphere,cont,200,ALO,ALO,165007412,45.5465424469206
0,sphere,cont,200,ALO,ALO,165007413,30.037408991328768
0,sphere,cont,200,ALO,ALO,165007414,43.538562402322846
0,sphere,cont,200,ALO,ALO,165007415,38.21162146862026
0,sphere,cont,200,ALO,ALO,165007416,41.7095444019842
0,sphere,cont,200,ALO,ALO,165007417,42.28515655461018
0,sphere,cont,200,ALO,ALO,165007418,46.908944899600506
0,sphere,cont,200,ALO,ALO,165007419,21.782191644468018
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014800,6.924454114297556
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014801,4.276920910950304
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014802,4.465644594318232
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014803,5.190027973608255
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014804,4.1927705436340705
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014805,5.971168997541222
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014806,5.9851960752208315
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014807,3.341195214973855
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014808,1.4043811110319568
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014809,4.231699105108727
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014810,3.6167013446689267
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014811,1.626605388385993
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014812,1.5684200689857704
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014813,1.5232515883216111
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014814,3.490603841547475
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014815,2.333922602266719
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014816,1.8062428115528142
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014817,1.4177889514082858
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014818,1.5450619964518275
0,sphere,cont,400,PSO_GBEST,PSO_GBEST,23014819,2.0341250633746726
0,sphere,cont,400,ES_1P1,ES_1P1,482014800,0.04840011894013431
0,sphere,cont,400,ES_1P1,ES_1P1,482014801,0.021135908058641246
0,sphere,cont,400,ES_1P1,ES_1P1,482014802,0.044693493333822276
0,sphere,cont,400,ES_1P1,ES_1P1,482014803,0.02356118885353879
0,sphere,cont,400,ES_1P1,ES_1P1,482014804,0.034638589162716574
0,sphere,cont,400,ES_1P1,ES_1P1,482014805,0.03888210707703725
0,sphere,cont,400,ES_1P1,ES_1P1,482014806,0.029850904221096552
0,sphere,cont,400,ES_1P1,ES_1P1,482014807,0.04523458432461981
0,sphere,cont,400,ES_1P1,ES_1P1,482014808,0.04056678202653001
0,sphere,cont,400,ES_1P1,ES_1P1,482014809,0.06313800295455174
0,sphere,cont,400,ES_1P1,ES_1P1,482014810,0.028524658199846804
0,sphere,cont,400,ES_1P1,ES_1P1,482014811,0.0439691064416707
0,sphere,cont,400,ES_1P1,ES_1P1,482014812,0.07059497797554291
0,sphere,cont,400,ES_1P1,ES_1P1,482014813,0.03783277539374174
0,sphere,cont,400,ES_1P1,ES_1P1,482014814,0.04096554848208467
0,sphere,cont,400,ES_1P1,ES_1P1,482014815,0.05070862672720737
0,sphere,cont,400,ES_1P1,ES_1P1,482014816,0.01050710352228595
0,sphere,cont,400,ES_1P1,ES_1P1,482014817,0.021284948590227018
0,sphere,cont,400,ES_1P1,ES_1P1,482014818,0.015898798437015298
0,sphere,cont,400,ES_1P1,ES_1P1,482014819,0.025826460930456673
0,sphere,cont,400,GWO,GWO,622014800,0.3823838872372306
0,sphere,cont,400,GWO,GWO,622014801,0.5068393016611961
0,sphere,cont,400,GWO,GWO,622014802,0.10246171406940194
0,sphere,cont,400,GWO,GWO,622014803,0.7790098344805511
0,sphere,cont,400,GWO,GWO,622014804,0.21121306264933118
0,sphere,cont,400,GWO,GWO,622014805,0.24097012184620872
0,sphere,cont,400,GWO,GWO,622014806,0.9859333176844692
0,sphere,cont,400,GWO,GWO,622014807,1.1756820992270456
0,sphere,cont,400,GWO,GWO,622014808,0.022855661079225563
0,sphere,cont,400,GWO,GWO,622014809,1.0358759100041925
0,sphere,cont,400,GWO,GWO,622014810,0.5461407064818835
0,sphere,cont,400,GWO,GWO,622014811,1.3404137211696656
0,sphere,cont,400,GWO,GWO,622014812,1.0065408548717958
0,sphere,cont,400,GWO,GWO,622014813,1.138302548553014
0,sphere,cont,400,GWO,GWO,622014814,0.3474570795971863
0,sphere,cont,400,GWO,GWO,622014815,0.6912150752476685
0,sphere,cont,400,GWO,GWO,622014816,1.058709714123071
0,sphere,cont,400,GWO,GWO,622014817,0.1195700937160529
