algo,rung,score,seconds,params_json,pop,beta0,gamma_scale,alpha_scale,k_neighbors
FA,rung1,-0.03512839619900626,2.1689000129699707,"{""alpha_scale"": 0.05091944117501428, ""beta0"": 0.716332168266339, ""gamma_scale"": 8.984524112508755, ""k_neighbors"": 1, ""pop"": 80}",80,0.716332168266339,8.984524112508755,0.05091944117501428,1
FA,rung1,0.38405269130966596,4.740140438079834,"{""alpha_scale"": 0.01969668859681184, ""beta0"": 1.3522880988542, ""gamma_scale"": 1.4087456183732243, ""k_neighbors"": 6, ""pop"": 78}",78,1.3522880988542,1.4087456183732243,0.01969668859681184,6
FA,rung1,0.6299871517246769,4.348710060119629,"{""alpha_scale"": 0.008696300224217732, ""beta0"": 0.4884867450928354, ""gamma_scale"": 0.47212476924286967, ""k_neighbors"": 4, ""pop"": 23}",23,0.4884867450928354,0.47212476924286967,0.008696300224217732,4
FA,rung1,0.24300704310055177,3.751246929168701,"{""alpha_scale"": 0.007405426547702587, ""beta0"": 1.3470768708233598, ""gamma_scale"": 0.3327577587868504, ""k_neighbors"": 3, ""pop"": 30}",30,1.3470768708233598,0.3327577587868504,0.007405426547702587,3
FA,rung1,0.25200519295344026,6.114367246627808,"{""alpha_scale"": 0.13056564450378977, ""beta0"": 2.1638481135731693, ""gamma_scale"": 0.6311117117525353, ""k_neighbors"": 8, ""pop"": 20}",20,2.1638481135731693,0.6311117117525353,0.13056564450378977,8
FA,rung1,0.08678271367397272,2.915600061416626,"{""alpha_scale"": 0.015158355373195181, ""beta0"": 1.7295513453477007, ""gamma_scale"": 0.08300383493294045, ""k_neighbors"": 2, ""pop"": 56}",56,1.7295513453477007,0.08300383493294045,0.015158355373195181,2
FA,rung1,0.728819812957531,3.679812431335449,"{""alpha_scale"": 0.03598741478972785, ""beta0"": 0.43533879449242785, ""gamma_scale"": 0.27928908841408423, ""k_neighbors"": 3, ""pop"": 22}",22,0.43533879449242785,0.27928908841408423,0.03598741478972785,3
FA,rung1,0.22498357077328596,2.840599298477173,"{""alpha_scale"": 0.01772801374696063, ""beta0"": 1.7103034527662044, ""gamma_scale"": 2.768299239651826, ""k_neighbors"": 2, ""pop"": 68}",68,1.7103034527662044,2.768299239651826,0.01772801374696063,2
FA,rung1,0.2751159813584498,3.0860745906829834,"{""alpha_scale"": 0.0031947385598396828, ""beta0"": 0.6463393986209652, ""gamma_scale"": 0.025400341097003874, ""k_neighbors"": 2, ""pop"": 31}",31,0.6463393986209652,0.025400341097003874,0.0031947385598396828,2
FA,rung1,-0.044878920022934754,4.811578750610352,"{""alpha_scale"": 0.20712212612454065, ""beta0"": 0.33540136475803084, ""gamma_scale"": 30.784862070174146, ""k_neighbors"": 5, ""pop"": 20}",20,0.33540136475803084,30.784862070174146,0.20712212612454065,5
