budget,target,view,algo,assign_family,w_PSO,w_ES,anchor_pso,anchor_es
800,easy,REL,PSO_GBEST,PSO,1.0,1.4730103347809336e-50,PSO_GBEST,ES_1P1
800,easy,REL,WOA,PSO,1.0,1.4730103347809336e-50,PSO_GBEST,ES_1P1
800,med,ABS,ALO,PSO,1.0,3.298239926642739e-109,PSO_GBEST,ES_1P1
800,med,ABS,BA,PSO,1.0,3.298239926642739e-109,PSO_GBEST,ES_1P1
800,med,ABS,ES_1P1,ES,3.298239926642739e-109,1.0,PSO_GBEST,ES_1P1
800,med,ABS,FA,PSO,1.0,3.298239926642739e-109,PSO_GBEST,ES_1P1
800,med,ABS,GWO,PSO,1.0,5.514496075732943e-51,PSO_GBEST,ES_1P1
800,med,ABS,MFO,PSO,1.0,3.298239926642739e-109,PSO_GBEST,ES_1P1
800,med,ABS,PSO_GBEST,PSO,1.0,3.298239926642739e-109,PSO_GBEST,ES_1P1
800,med,ABS,WOA,PSO,1.0,3.298239926642739e-109,PSO_GBEST,ES_1P1
800,med,REL,ALO,PSO,1.0,4.688170704538694e-71,PSO_GBEST,ES_1P1
800,med,REL,BA,PSO,1.0,4.688170704538694e-71,PSO_GBEST,ES_1P1
800,med,REL,ES_1P1,ES,4.688170704538694e-71,1.0,PSO_GBEST,ES_1P1
800,med,REL,FA,PSO,1.0,4.688170704538694e-71,PSO_GBEST,ES_1P1
800,med,REL,GWO,PSO,1.0,4.0152008507510924e-51,PSO_GBEST,ES_1P1
800,med,REL,MFO,PSO,1.0,4.688170704538694e-71,PSO_GBEST,ES_1P1
800,med,REL,PSO_GBEST,PSO,1.0,4.688170704538694e-71,PSO_GBEST,ES_1P1
800,med,REL,WOA,PSO,1.0,4.688170704538694e-71,PSO_GBEST,ES_1P1
800,hard,ABS,ALO,PSO,1.0,7.743030325786994e-110,PSO_GBEST,ES_1P1
800,hard,ABS,BA,PSO,1.0,7.743030325786994e-110,PSO_GBEST,ES_1P1
800,hard,ABS,ES_1P1,ES,2.048321464252444e-112,1.0,PSO_GBEST,ES_1P1
800,hard,ABS,FA,PSO,1.0,7.743030325786994e-110,PSO_GBEST,ES_1P1
800,hard,ABS,GWO,ES,4.123517652122724e-09,0.9999999958764824,PSO_GBEST,ES_1P1
800,hard,ABS,MFO,PSO,1.0,7.743030325786994e-110,PSO_GBEST,ES_1P1
800,hard,ABS,PSO_GBEST,PSO,1.0,2.048321464252444e-112,PSO_GBEST,ES_1P1
800,hard,ABS,WOA,PSO,1.0,1.5688772476090362e-99,PSO_GBEST,ES_1P1
800,hard,REL,ALO,PSO,1.0,4.400879772274131e-83,PSO_GBEST,ES_1P1
800,hard,REL,BA,PSO,1.0,4.400879772274131e-83,PSO_GBEST,ES_1P1
800,hard,REL,ES_1P1,ES,1.316772877152506e-83,1.0,PSO_GBEST,ES_1P1
800,hard,REL,FA,PSO,1.0,4.400879772274131e-83,PSO_GBEST,ES_1P1
800,hard,REL,GWO,PSO,1.0,2.5320695809141596e-36,PSO_GBEST,ES_1P1
800,hard,REL,MFO,PSO,1.0,4.400879772274131e-83,PSO_GBEST,ES_1P1
800,hard,REL,PSO_GBEST,PSO,1.0,1.316772877152506e-83,PSO_GBEST,ES_1P1
800,hard,REL,WOA,PSO,1.0,2.4520294378956646e-81,PSO_GBEST,ES_1P1
1200,easy,ABS,ALO,PSO,1.0,1.4615395326293976e-109,PSO_GBEST,ES_1P1
1200,easy,ABS,BA,PSO,1.0,1.4615395326293976e-109,PSO_GBEST,ES_1P1
1200,easy,ABS,ES_1P1,ES,1.4615395326293976e-109,1.0,PSO_GBEST,ES_1P1
1200,easy,ABS,FA,PSO,1.0,1.4615395326293976e-109,PSO_GBEST,ES_1P1
1200,easy,ABS,GWO,PSO,1.0,5.506469999801634e-88,PSO_GBEST,ES_1P1
1200,easy,ABS,MFO,PSO,1.0,1.4615395326293976e-109,PSO_GBEST,ES_1P1
1200,easy,ABS,PSO_GBEST,PSO,1.0,1.4615395326293976e-109,PSO_GBEST,ES_1P1
1200,easy,ABS,WOA,PSO,1.0,1.4615395326293976e-109,PSO_GBEST,ES_1P1
1200,easy,REL,ALO,PSO,1.0,2.6824378317407132e-71,PSO_GBEST,ES_1P1
1200,easy,REL,BA,PSO,1.0,2.6824378317407132e-71,PSO_GBEST,ES_1P1
1200,easy,REL,ES_1P1,ES,2.6824378317407132e-71,1.0,PSO_GBEST,ES_1P1
1200,easy,REL,FA,PSO,1.0,2.6824378317407132e-71,PSO_GBEST,ES_1P1
1200,easy,REL,GWO,PSO,1.0,3.4870896156849452e-65,PSO_GBEST,ES_1P1
1200,easy,REL,MFO,PSO,1.0,2.6824378317407132e-71,PSO_GBEST,ES_1P1
1200,easy,REL,PSO_GBEST,PSO,1.0,2.6824378317407132e-71,PSO_GBEST,ES_1P1
1200,easy,REL,WOA,PSO,1.0,2.6824378317407132e-71,PSO_GBEST,ES_1P1
1200,med,ABS,ALO,PSO,1.0,2.8117088062862437e-106,PSO_GBEST,ES_1P1
1200,med,ABS,BA,PSO,1.0,2.8117088062862437e-106,PSO_GBEST,ES_1P1
1200,med,ABS,ES_1P1,ES,7.8858414365609715e-109,1.0,PSO_GBEST,ES_1P1
1200,med,ABS,FA,PSO,1.0,2.8117088062862437e-106,PSO_GBEST,ES_1P1
1200,med,ABS,GWO,PSO,1.0,8.873423093289543e-28,PSO_GBEST,ES_1P1
1200,med,ABS,MFO,PSO,1.0,2.8117088062862437e-106,PSO_GBEST,ES_1P1
1200,med,ABS,PSO_GBEST,PSO,1.0,7.8858414365609715e-109,PSO_GBEST,ES_1P1
1200,med,ABS,WOA,PSO,1.0,3.5008699586591823e-99,PSO_GBEST,ES_1P1
1200,med,REL,ALO,PSO,1.0,2.24275901241221e-70,PSO_GBEST,ES_1P1
1200,med,REL,BA,PSO,1.0,2.24275901241221e-70,PSO_GBEST,ES_1P1
1200,med,REL,ES_1P1,ES,6.236143103296277e-71,1.0,PSO_GBEST,ES_1P1
1200,med,REL,FA,PSO,1.0,2.24275901241221e-70,PSO_GBEST,ES_1P1
1200,med,REL,GWO,PSO,1.0,6.61102343189574e-40,PSO_GBEST,ES_1P1
1200,med,REL,MFO,PSO,1.0,2.24275901241221e-70,PSO_GBEST,ES_1P1
1200,med,REL,PSO_GBEST,PSO,1.0,6.236143103296277e-71,PSO_GBEST,ES_1P1
1200,med,REL,WOA,PSO,1.0,4.1421015998516907e-69,PSO_GBEST,ES_1P1
1200,hard,ABS,ALO,PSO,1.0,5.751332346911929e-62,PSO_GBEST,ES_1P1
1200,hard,ABS,BA,PSO,1.0,5.751332346911929e-62,PSO_GBEST,ES_1P1
1200,hard,ABS,ES_1P1,ES,2.093752059931515e-77,1.0,PSO_GBEST,ES_1P1
1200,hard,ABS,FA,PSO,1.0,5.751332346911929e-62,PSO_GBEST,ES_1P1
1200,hard,ABS,GWO,PSO,0.9999999999999999,1.6383820160640047e-16,PSO_GBEST,ES_1P1
1200,hard,ABS,MFO,PSO,1.0,5.751332346911929e-62,PSO_GBEST,ES_1P1
1200,hard,ABS,PSO_GBEST,PSO,1.0,2.093752059931515e-77,PSO_GBEST,ES_1P1
1200,hard,ABS,WOA,PSO,1.0,4.859190840716661e-68,PSO_GBEST,ES_1P1
1200,hard,REL,ALO,PSO,1.0,1.0036997044571585e-55,PSO_GBEST,ES_1P1
1200,hard,REL,BA,PSO,1.0,1.0036997044571585e-55,PSO_GBEST,ES_1P1
1200,hard,REL,ES_1P1,ES,1.2490535966809834e-71,1.0,PSO_GBEST,ES_1P1
1200,hard,REL,FA,PSO,1.0,1.0036997044571585e-55,PSO_GBEST,ES_1P1
1200,hard,REL,GWO,PSO,1.0,8.00128344805992e-29,PSO_GBEST,ES_1P1
1200,hard,REL,MFO,PSO,1.0,1.0036997044571585e-55,PSO_GBEST,ES_1P1
1200,hard,REL,PSO_GBEST,PSO,1.0,1.2490535966809834e-71,PSO_GBEST,ES_1P1
1200,hard,REL,WOA,PSO,1.0,5.409311526009607e-62,PSO_GBEST,ES_1P1
