algo,n_slices,frac_PSO,mean_w_PSO,mean_w_ES,dominant_family
ALO,24,1.0,0.8333325674834837,0.16666743251651636,PSO
BA,24,1.0,0.8333325674834837,0.16666743251651636,PSO
ES_1P1,24,0.3333333333333333,0.16666743251651636,0.8333325674834837,ES
FA,24,1.0,0.8333325674834837,0.16666743251651636,PSO
GWO,24,0.9583333333333334,0.7909653008077236,0.20903469919227638,PSO
MFO,24,1.0,0.8333325674834837,0.16666743251651636,PSO
PSO_GBEST,24,1.0,0.8333325674834837,0.16666743251651636,PSO
WOA,24,1.0,0.8333325674834837,0.16666743251651636,PSO
