,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT
"DE(pop=20,F=0.8,CR=0.9)",0.000000,0.012363,0.215255,0.040678,1.764065,0.322742,0.012363
"DE(pop=40,F=0.8,CR=0.9)",0.012363,0.000000,0.240186,0.023053,1.812818,0.231425,0.000000
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.215255,0.240186,0.000000,0.215451,1.550897,0.502167,0.240186
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.040678,0.023053,0.215451,0.000000,1.861954,0.222929,0.023053
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1.764065,1.812818,1.550897,1.861954,0.000000,1.680388,1.812818
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.322742,0.231425,0.502167,0.222929,1.680388,0.000000,0.231425
RS_CONT,0.012363,0.000000,0.240186,0.023053,1.812818,0.231425,0.000000
