algo,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
"GA(pop=100,pc=0.9,pm=0.02)",0.4216988345795087,0.3893521359402946,0.45243901990681196,0.014595699060698283,0.001331989444136285,0.042794153684996006,0.5637054663592296,0.5279818326709015,0.6005539643375479
"GA(pop=50,pc=0.9,pm=0.02)",0.5590161239326787,0.5179167092933488,0.596846124971985,0.02508627193700648,0.0016364159341493343,0.07848485467805794,0.4158976041297555,0.3785623810579562,0.44844275995765176
"GA(pop=50,pc=0.9,pm=0.05)",0.49862487163076447,0.45564442111229553,0.5404413658403591,0.02488867964198571,0.00198820252069982,0.07396337260003588,0.4764864487267406,0.4335522288617406,0.5187160417804327
HC(flips=1),0.45760037228379263,0.309389190566975,0.606223315402613,0.016089203981135128,0.0011507013705908409,0.0541217308202354,0.5263104237345023,0.3756564592921075,0.680954999420036
HC(flips=2),0.04064034604657854,0.0028721797949501898,0.12185053671541278,0.9381805985849349,0.8164748881034217,0.9951612427941454,0.02117905536754958,0.0020725108308204386,0.0601721600720855
RS_BIN,0.42089971130316967,0.3897109509743078,0.4502674527921435,0.013284067329806455,0.001187011881126389,0.039145361426571025,0.5658162213664573,0.5302444390206211,0.6014717779079594
"SA(T0=1.0,alpha=0.995,flips=1)",0.48230479551718214,0.33027130695881346,0.6252737678436752,0.01855407150362141,0.0012223830019875881,0.06267977057404524,0.4991411329786337,0.34745878296859084,0.6530838593801782
"SA(T0=2.0,alpha=0.99,flips=1)",0.4796166483701746,0.3325120888457063,0.6241920061096018,0.017962850384128183,0.0011908437681519785,0.06144264172569574,0.502420501245133,0.35030224553286765,0.656125815477689
"SA(T0=2.0,alpha=0.995,flips=2)",0.08701988964744095,0.013132876158833205,0.21257528874674356,0.8423560215978265,0.6379874154263463,0.9743439217394254,0.07062408875389055,0.01177498321393864,0.1644829809447772
