,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.000000,0.061510,0.037007,0.940644,0.798192,0.002092,0.842406,0.852229,0.607540
"GA(pop=50,pc=0.9,pm=0.02)",0.061510,0.000000,0.031344,0.946213,0.703871,0.060444,0.825751,0.837885,0.592815
"GA(pop=50,pc=0.9,pm=0.05)",0.037007,0.031344,0.000000,1.013281,0.696604,0.040884,0.901850,0.913368,0.536227
HC(flips=1),0.940644,0.946213,1.013281,0.000000,1.722162,0.919570,0.020415,0.018333,1.815265
HC(flips=2),0.798192,0.703871,0.696604,1.722162,0.000000,0.818548,1.591839,1.608601,0.096253
RS_BIN,0.002092,0.060444,0.040884,0.919570,0.818548,0.000000,0.822300,0.831925,0.629406
"SA(T0=1.0,alpha=0.995,flips=1)",0.842406,0.825751,0.901850,0.020415,1.591839,0.822300,0.000000,0.002292,1.708172
"SA(T0=2.0,alpha=0.99,flips=1)",0.852229,0.837885,0.913368,0.018333,1.608601,0.831925,0.002292,0.000000,1.722081
"SA(T0=2.0,alpha=0.995,flips=2)",0.607540,0.592815,0.536227,1.815265,0.096253,0.629406,1.708172,1.722081,0.000000
