algo,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
"GA(pop=100,pc=0.9,pm=0.02)",0.7840179102838537,0.2267783834798606,0.9932018554787931,0.01132546092907298,0.0010306909579951423,0.03796743015852118,0.20465662878622914,0.0028437944108711875,0.7645191114198977
"GA(pop=50,pc=0.9,pm=0.02)",0.9949103578185404,0.9827112693997319,0.9991131225068856,0.00476233628771675,0.0003724354244631669,0.01719740708029868,0.0003273058927477836,9.150772748796287e-05,0.0008127059501704713
"GA(pop=50,pc=0.9,pm=0.05)",0.7735830315629383,0.2332381223004372,0.9908946094229287,0.011514998277106121,0.0015707456058118264,0.03510007357258619,0.21490197015912035,0.004871848327380214,0.7586647998607479
HC(flips=1),0.0047604526028402335,0.00037191671627103827,0.017189120014497253,0.9941997802345173,0.9821082377628698,0.9986414555716109,0.0010397671616476194,0.00030253977078892455,0.0025348952329125123
HC(flips=2),0.3040148360644665,0.017241606319010776,0.8179044679065799,0.0015832050421148286,0.0005460956014548983,0.0028841897210712653,0.6944019588926273,0.18051732364165446,0.9822269285217881
RS_BIN,0.0003278651008057537,9.284583664719485e-05,0.0008130501713284997,0.0010422304725675752,0.0003054976392970694,0.0025349099569584423,0.9986299044256286,0.9971735328361097,0.9994931520628646
"SA(T0=1.0,alpha=0.995,flips=1)",0.0047604526028402335,0.00037191671627103827,0.017189120014497253,0.9941997802345173,0.9821082377628698,0.9986414555716109,0.0010397671616476194,0.00030253977078892455,0.0025348952329125123
"SA(T0=2.0,alpha=0.99,flips=1)",0.0047604526028402335,0.00037191671627103827,0.017189120014497253,0.9941997802345173,0.9821082377628698,0.9986414555716109,0.0010397671616476194,0.00030253977078892455,0.0025348952329125123
"SA(T0=2.0,alpha=0.995,flips=2)",0.2524132743102561,0.011928358998327884,0.7601772556995686,0.0015726787752281684,0.0004912365323896145,0.003224902717288381,0.7460140469136991,0.23819138792739566,0.9873409975872951
