,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.000000,0.674890,0.039099,1.624175,0.891658,1.113177,1.624175,1.624175,0.973220
"GA(pop=50,pc=0.9,pm=0.02)",0.674890,0.000000,0.706897,1.215702,0.834852,1.645228,1.215702,1.215702,0.859480
"GA(pop=50,pc=0.9,pm=0.05)",0.039099,0.706897,0.000000,1.628547,0.872797,1.111652,1.628547,1.628547,0.952086
HC(flips=1),1.624175,1.215702,1.628547,0.000000,1.788952,1.450067,0.000000,0.000000,1.763441
HC(flips=2),0.891658,0.834852,0.872797,1.788952,0.000000,0.571042,1.788952,1.788952,0.032663
RS_BIN,1.113177,1.645228,1.111652,1.450067,0.571042,0.000000,1.450067,1.450067,0.512828
"SA(T0=1.0,alpha=0.995,flips=1)",1.624175,1.215702,1.628547,0.000000,1.788952,1.450067,0.000000,0.000000,1.763441
"SA(T0=2.0,alpha=0.99,flips=1)",1.624175,1.215702,1.628547,0.000000,1.788952,1.450067,0.000000,0.000000,1.763441
"SA(T0=2.0,alpha=0.995,flips=2)",0.973220,0.859480,0.952086,1.763441,0.032663,0.512828,1.763441,1.763441,0.000000
