,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.000000,0.400277,0.032699,0.785569,0.644987,0.842436,0.785569,0.785569,0.733642
"GA(pop=50,pc=0.9,pm=0.02)",0.400277,0.000000,0.478569,0.634829,0.865678,1.364828,0.634829,0.634829,0.885754
"GA(pop=50,pc=0.9,pm=0.05)",0.032699,0.478569,0.000000,0.904631,0.731126,0.904631,0.904631,0.904631,0.826981
HC(flips=1),0.785569,0.634829,0.904631,0.000000,1.307804,1.000000,0.000000,0.000000,1.260902
HC(flips=2),0.644987,0.865678,0.731126,1.307804,0.000000,0.463481,1.307804,1.307804,0.077734
RS_BIN,0.842436,1.364828,0.904631,1.000000,0.463481,0.000000,1.000000,1.000000,0.387137
"SA(T0=1.0,alpha=0.995,flips=1)",0.785569,0.634829,0.904631,0.000000,1.307804,1.000000,0.000000,0.000000,1.260902
"SA(T0=2.0,alpha=0.99,flips=1)",0.785569,0.634829,0.904631,0.000000,1.307804,1.000000,0.000000,0.000000,1.260902
"SA(T0=2.0,alpha=0.995,flips=2)",0.733642,0.885754,0.826981,1.260902,0.077734,0.387137,1.260902,1.260902,0.000000
