algo,Evolution_mean,Evolution_p05,Evolution_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,PSO_global_mean,PSO_global_p05,PSO_global_p95,Random_mean,Random_p05,Random_p95
"DE(pop=20,F=0.8,CR=0.9)",0.4258210561098171,0.4008016435188946,0.4511292198086065,0.1709418984088757,0.12379385375391759,0.2167589445409721,5.285884770809506e-05,3.341136833536459e-05,8.167909749384159e-05,0.403184186633173,0.38047132910051695,0.4259463382128655
"DE(pop=40,F=0.8,CR=0.9)",0.4130371490471744,0.38768612459359897,0.43697926294361944,0.15233843038080278,0.10277877252489494,0.2031493559319679,5.545124617029739e-05,3.50979223685693e-05,8.445002515504838e-05,0.43456896932541844,0.4070207829094242,0.46125447924751756
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.2279746828781964,0.18257638012479513,0.26710730888833795,0.5742192132897785,0.49084080754663284,0.6677270292073506,0.00010274012106156992,4.1126745490552094e-05,0.00021715428050976524,0.1977033637103898,0.14844153825957104,0.24583930647235624
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.37106655538702776,0.3353265865037231,0.4103061414653594,0.2752187959099203,0.21040137622573038,0.33597360800320697,3.7349092309510734e-05,2.6820644570927493e-05,5.302891380434514e-05,0.353677299610369,0.32245599436889244,0.3859381673887686
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.00012390803226892903,8.016772924157866e-05,0.00018866860536479932,0.0001742322009657435,7.906235547922324e-05,0.00034537605896256394,0.9995732475993443,0.9993269946721998,0.9997278418833585,0.00012861216642177166,8.269506468282562e-05,0.00019872780263559663
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.2996214309049079,0.2159084650849017,0.37245583966186857,0.40300788905666046,0.2587830653269598,0.5670399139961303,0.0009045461055348714,0.00010462266881703793,0.0025911858528298716,0.2964661339324744,0.21034424940518326,0.37295930306996056
RS_CONT,0.4124440243770172,0.3865806645960179,0.43640751509460285,0.15189401035388414,0.10351103161299159,0.20368651125299697,5.6195829763862634e-05,3.514654682887806e-05,8.816180684648086e-05,0.43560576943889956,0.40827420553694377,0.4619007555328946
