,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT
"DE(pop=20,F=0.8,CR=0.9)",0.000000,0.012851,0.195781,0.044363,1.805276,0.257411,0.011329
"DE(pop=40,F=0.8,CR=0.9)",0.012851,0.000000,0.227002,0.055569,1.802244,0.256484,0.002322
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.195781,0.227002,0.000000,0.112008,1.733266,0.197335,0.225952
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.044363,0.055569,0.112008,0.000000,1.888160,0.266423,0.054123
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1.805276,1.802244,1.733266,1.888160,0.000000,1.561767,1.798286
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.257411,0.256484,0.197335,0.266423,1.561767,0.000000,0.260417
RS_CONT,0.011329,0.002322,0.225952,0.054123,1.798286,0.260417,0.000000
