algo,Evolution_mean,Evolution_p05,Evolution_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,PSO_global_mean,PSO_global_p05,PSO_global_p95,Random_mean,Random_p05,Random_p95
"DE(pop=20,F=0.8,CR=0.9)",0.5822122043456032,0.5193120745097631,0.6538868803065797,8.538168191957025e-05,4.1515266242605367e-05,0.00016634559386339317,5.406109455360284e-05,3.004371725458755e-05,9.203253232628868e-05,0.41764835287734137,0.3459131345469555,0.4806111574056929
"DE(pop=40,F=0.8,CR=0.9)",0.41767220016911594,0.3459543699542791,0.48061043146435034,4.704522587004888e-05,3.377448569125162e-05,6.885317757156947e-05,3.1024539453061024e-05,2.7198320790036617e-05,3.5287476160062215e-05,0.5822497300649797,0.5193112900107253,0.6539637656845319
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.00010323036842290003,5.359337627796868e-05,0.00019554373682809535,0.7095923653353028,0.6155673645443165,0.8165655351221254,0.29024572467193943,0.18317444714897563,0.38434700509324105,5.86796236260176e-05,3.694390716019861e-05,9.702755828000361e-05
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.3883494538048562,0.27041102267534023,0.4998563512532866,0.00033194799919496616,8.848222602629163e-05,0.0008733640646436039,8.759409014317689e-05,3.820171474896503e-05,0.00019186611309700806,0.6112310041051923,0.49953133488423523,0.7294156205480066
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",6.396974070643122e-05,4.1882158179407435e-05,9.364340118168084e-05,0.29026078600952165,0.18320184173016582,0.3843475690227817,0.70963740281354,0.6155682708837275,0.8166876634900019,3.784143552265095e-05,3.1976247639203536e-05,4.4300759045392315e-05
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.005004004587069467,0.00013757709867423594,0.022661160169923884,0.3296310277243436,0.15173992884208176,0.5191774064700889,0.6268338473782035,0.3929659496373201,0.8225551317723925,0.038531120309738924,0.00021187699025167024,0.19761625132037516
RS_CONT,0.41767220016911594,0.3459543699542791,0.48061043146435034,4.704522587004888e-05,3.377448569125162e-05,6.885317757156947e-05,3.1024539453061024e-05,2.7198320790036617e-05,3.5287476160062215e-05,0.5822497300649797,0.5193112900107253,0.6539637656845319
