algo,rung,score,seconds,params_json,pop,b
MFO,rung1,0.1905691421558502,1.0505313873291016,"{""b"": 0.7402215660548586, ""pop"": 34}",34,0.7402215660548586
MFO,rung1,0.13208269808987788,0.9846434593200684,"{""b"": 1.6564607924130152, ""pop"": 69}",69,1.6564607924130152
MFO,rung1,0.07315993827674672,0.9136958122253418,"{""b"": 1.2535030409291221, ""pop"": 79}",79,1.2535030409291221
MFO,rung1,0.16835751454227305,0.9867098331451416,"{""b"": 0.9768805764322036, ""pop"": 54}",54,0.9768805764322036
MFO,rung1,0.13506868295164076,1.049696445465088,"{""b"": 1.6711799249938883, ""pop"": 50}",50,1.6711799249938883
MFO,rung1,0.17553016767903934,1.050933837890625,"{""b"": 1.1300685909421586, ""pop"": 34}",34,1.1300685909421586
MFO,rung1,0.13426086295708278,0.9664149284362793,"{""b"": 1.3187110162857045, ""pop"": 61}",61,1.3187110162857045
MFO,rung1,0.15203127044476933,0.9998974800109863,"{""b"": 1.2076663914662125, ""pop"": 59}",59,1.2076663914662125
MFO,rung1,0.15303321635935596,0.99855637550354,"{""b"": 0.9416236632527135, ""pop"": 71}",71,0.9416236632527135
MFO,rung1,0.17207300109416157,1.0587408542633057,"{""b"": 0.7884566460556627, ""pop"": 33}",33,0.7884566460556627
MFO,rung1,0.11054642622712757,0.9692587852478027,"{""b"": 1.3554481872174549, ""pop"": 73}",73,1.3554481872174549
MFO,rung1,0.12187998514060111,0.9670212268829346,"{""b"": 0.633687661610862, ""pop"": 61}",61,0.633687661610862
MFO,rung1,0.16204562788767746,0.9763333797454834,"{""b"": 1.0889832360024638, ""pop"": 69}",69,1.0889832360024638
MFO,rung1,0.10579098753385902,1.0038411617279053,"{""b"": 1.5883661549291965, ""pop"": 54}",54,1.5883661549291965
MFO,rung1,0.09676670161520573,1.0022189617156982,"{""b"": 1.0293032401033477, ""pop"": 80}",80,1.0293032401033477
MFO,rung1,0.10712334091669234,0.9282708168029785,"{""b"": 1.476761179513281, ""pop"": 79}",79,1.476761179513281
MFO,rung1,0.1306448080612782,1.054630994796753,"{""b"": 1.4521832028164796, ""pop"": 47}",47,1.4521832028164796
MFO,rung1,0.10185499212815402,0.9847595691680908,"{""b"": 1.6173126404795037, ""pop"": 66}",66,1.6173126404795037
MFO,rung1,0.20166469531545306,1.0479626655578613,"{""b"": 0.8931020221630066, ""pop"": 41}",41,0.8931020221630066
MFO,rung1,0.189202055831046,1.0282485485076904,"{""b"": 0.9772181273802434, ""pop"": 42}",42,0.9772181273802434
MFO,rung1,0.14123832304759715,1.0350375175476074,"{""b"": 1.7169532100834088, ""pop"": 36}",36,1.7169532100834088
MFO,rung1,0.0976024018406863,0.9847428798675537,"{""b"": 1.830329063488529, ""pop"": 56}",56,1.830329063488529
MFO,rung1,0.0742164743134886,0.904973030090332,"{""b"": 1.8667328529080582, ""pop"": 77}",77,1.8667328529080582
MFO,rung1,0.09266551468581075,1.0097436904907227,"{""b"": 1.798602845302876, ""pop"": 43}",43,1.798602845302876
MFO,rung1,0.15041515634524544,0.97749924659729,"{""b"": 0.8924393285967863, ""pop"": 65}",65,0.8924393285967863
MFO,rung1,0.15351416057457745,0.9996457099914551,"{""b"": 1.232233528341872, ""pop"": 60}",60,1.232233528341872
MFO,rung1,0.1424130881619176,0.9969468116760254,"{""b"": 1.2133987434435063, ""pop"": 75}",75,1.2133987434435063
MFO,rung1,0.17977453825281797,1.0070395469665527,"{""b"": 1.0145678476337743, ""pop"": 55}",55,1.0145678476337743
