algo,easy:300,easy:500,easy:800,easy:1000,hard:300,hard:500,hard:800,hard:1000,med:300,med:500,med:800,med:1000
ALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,-0.7276068751089996,-0.7276068751089996,-0.24253562503633858,1.6977493752543296,-1.4839906279323287,-0.31002589720034673,0.6820569738407644,1.1119595512919125,-1.130735216914199,-0.8105270138942489,0.6704359250730209,1.2708263057354272
MFO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOA,0.0,0.0,0.0,0.0,-0.7664394903349399,-0.7664394903349399,-0.14193323895091434,1.674812219620796,-0.577350269189597,-0.577350269189597,-0.577350269189597,1.7320508075689063
