algo,p_win_PSO,p_win_PSO_lo,p_win_PSO_hi,p_win_ES,p_win_ES_lo,p_win_ES_hi,p_win_FLAT,p_win_FLAT_lo,p_win_FLAT_hi,w_PSO,w_PSO_lo,w_PSO_hi,w_ES,w_ES_lo,w_ES_hi,w_FLAT,w_FLAT_lo,w_FLAT_hi,dist_margin_ES_minus_PSO,dist_margin_lo,dist_margin_hi,headroom,headroom_lo,headroom_hi,label
ES_1P1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.00021781565006250643,0.00017887556273645937,0.0003600308923493723,0.9997265021352626,0.9995543163590035,0.9997733504869177,5.568221467368584e-05,4.767697861468049e-05,8.569387855271652e-05,-8.450887338450451,-8.62859440629387,-7.9288742019040335,0.22051683604984448,0.18160714285714288,0.2565833926031294,ES
MFO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.030492687218271506,0.025665116855993788,0.03700124907728945,5.49658641773849e-05,4.649863549461879e-05,8.505491083342423e-05,0.9694523469175496,0.9629483606858542,0.9742817205589493,6.32813400792045,5.801470900009482,6.649039136337101,0.0013784268203054794,0.0,0.0023809523809523725,FLAT
ALO,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.036818714021086996,0.030654080798843804,0.04488117530000365,6.31457126088727e-05,5.3003636826952256e-05,9.772754136217218e-05,0.9631181402663032,0.9550614611764922,0.9692694118179821,6.3782666149662655,5.852675028312162,6.69777385875274,0.012610076010453823,0.006578947368421045,0.018018018018018014,FLAT
WOA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.13585916151471356,0.09840260169260763,0.18914392000719069,0.00015816938629914414,0.00012199672544475868,0.00024648582619549045,0.8639826690989872,0.8107006345113306,0.9014614473721397,6.757518076630185,6.199533625251557,7.108236152506491,0.07129436351782854,0.05553977272727271,0.08589466089466068,FLAT
FA,0.448,0.0,1.0,0.0,0.0,0.0,0.552,0.0,1.0,0.48676327753120296,0.28919502903586736,0.6980891671397037,0.0004175773401150296,0.00027375669454984103,0.0007055573281121474,0.5128191451286814,0.30149307740727566,0.7105106965974459,7.062770796050245,6.469322236920205,7.458023486065572,0.1312971403150133,0.0964827935222672,0.16666666666666666,PSO
GWO,0.972,0.0,1.0,0.0,0.0,0.0,0.028,0.0,1.0,0.6189814426255714,0.4974590983527485,0.7231660951415145,0.000605992626988746,0.000443341601300847,0.0010122831795175006,0.3804125647474398,0.27619021776532476,0.5016513153388866,6.9458689407187055,6.3753962678509986,7.262871922759386,0.15535466296641495,0.12387387387387393,0.18495934959349594,PSO
BA,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8133580173671469,0.7864305462711325,0.8366300428785075,0.003072204108402369,0.002205272839438688,0.005191274315314687,0.18356977852445203,0.16078457177344357,0.21082324475071687,5.601206499021672,5.059104987123921,5.896987145522596,0.16669664803619486,0.12606837606837606,0.20627232142857133,PSO
PSO_GBEST,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699665685659715,0.9635662835342379,0.9748095068834883,0.00021136619629203232,0.00017279268789109967,0.0003506519848656192,0.02982206523773403,0.024980844620228586,0.0362641238292675,8.450887338450451,7.9288742019040335,8.62859440629387,0.25720577512530707,0.21665540540540543,0.29762648809523806,PSO
