algo_variant,label_succ,w_PSO_succ,w_ES_succ,w_FLAT_succ,Delta_succ,Delta_succ_lo,Delta_succ_hi,headroom_succ,headroom_lo_succ,headroom_hi_succ,p_win_PSO_succ,p_win_ES_succ,p_win_FLAT_succ,label_fit,w_PSO_fit,w_PSO_lo,w_PSO_hi,w_ES_fit,w_ES_lo,w_ES_hi,Delta_fit,Delta_fit_lo,Delta_fit_hi,headroom_fit,headroom_lo_fit,headroom_hi_fit,disagree
ALO,FLAT,0.2582698284079607,8.90605498219383e-05,0.741641111042216,7.968860184166736,7.680283838934741,8.235690272292334,0.0,0.0,0.0,0.0,0.0,1.0,PSO,0.6144812938395742,0.5896970710758247,0.6381896407644946,0.3855187061604262,0.3618103592355053,0.4103029289241752,0.4664971409525428,0.3627132444860536,0.5675152767252771,0.3407306912587398,0.3181471790932751,0.3654593125344474,True
BA,FLAT,0.2582698284079607,8.90605498219383e-05,0.741641111042216,7.968860184166736,7.680283838934741,8.235690272292334,0.0,0.0,0.0,0.0,0.0,1.0,PSO,0.6707084571149529,0.6499761603421504,0.6908161606427324,0.3292915428850481,0.3091838393572676,0.3500238396578495,0.7117483069799838,0.618934420532536,0.8039376910796063,0.4872233304881202,0.4561469319975196,0.5193842837019961,True
FA,FLAT,0.2582698284079607,8.90605498219383e-05,0.741641111042216,7.968860184166736,7.680283838934741,8.235690272292334,0.0,0.0,0.0,0.0,0.0,1.0,PSO,0.6424423853217375,0.6174122271868222,0.6660909960459533,0.3575576146782618,0.3339090039540467,0.3825877728131778,0.5863780576295631,0.4785788184075461,0.6905577813034462,0.3846802821839932,0.3601160353292397,0.4090803512420379,True
MFO,FLAT,0.2621104963961432,9.027961936548088e-05,0.7377992239844906,7.970483706128304,7.684073418706635,8.236686404105392,0.0,0.0,0.0,0.0,0.0,1.0,PSO,0.692656977812103,0.669359376004664,0.7144108715931039,0.3073430221878969,0.2855891284068961,0.330640623995336,0.8131229447464644,0.7052890423606892,0.9169040833283036,0.4278176648475766,0.4071494810602032,0.4479670373099412,True
GWO,PSO,0.696499683990731,0.0020291342111215,0.301471181798148,5.861126695239451,5.477266439031186,6.286586683282093,0.1594618289105379,0.1270833333333333,0.1907991486068111,1.0,0.0,0.0,ES,0.2500028891152737,0.2211774840662771,0.2817129180217826,0.7499971108847266,0.7182870819782172,0.7788225159337229,-1.1002822345048726,-1.2588177155467888,-0.9359808844342764,0.1788360087736966,0.1669961730741659,0.1904621196332268,True
