,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT
"DE(pop=20,F=0.8,CR=0.9)",0.000000,0.066986,1.780979,0.231705,1.865140,1.756767,0.066986
"DE(pop=40,F=0.8,CR=0.9)",0.066986,0.000000,1.887975,0.138441,1.966799,1.510817,0.000000
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1.780979,1.887975,0.000000,1.701454,0.187039,0.733640,1.887975
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.231705,0.138441,1.701454,0.000000,1.944531,1.371435,0.138441
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1.865140,1.966799,0.187039,1.944531,0.000000,0.597878,1.966799
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1.756767,1.510817,0.733640,1.371435,0.597878,0.000000,1.510817
RS_CONT,0.066986,0.000000,1.887975,0.138441,1.966799,1.510817,0.000000
