algo,PSO_global_mean,PSO_global_p05,PSO_global_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,Evolution_mean,Evolution_p05,Evolution_p95,Random_mean,Random_p05,Random_p95
"DE(pop=20,F=0.8,CR=0.9)",3.4651243891847484e-05,3.4651243891847484e-05,3.4651243891847484e-05,0.0012635467984193197,0.0012635467984193197,0.0012635467984193197,0.5471183242317276,0.5471183242317276,0.5471183242317276,0.4515834777254141,0.4515834777254141,0.4515834777254141
"DE(pop=40,F=0.8,CR=0.9)",3.1602439357849866e-05,3.1602439357849866e-05,3.1602439357849866e-05,0.0006678164369874567,0.0006678164369874567,0.0006678164369874567,0.4961373478254111,0.4961373478254111,0.4961373478254111,0.5031632332977404,0.5031632332977404,0.5031632332977404
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.5097786885508835,0.5097786885508835,0.5097786885508835,0.48982636974565075,0.48982636974565075,0.48982636974565075,0.00020773730529705987,0.00020773730529705987,0.00020773730529705987,0.00018720439765875763,0.00018720439765875763,0.00018720439765875763
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.0004104660126582304,0.0004104660126582304,0.0004104660126582304,0.308759721114846,0.308759721114846,0.308759721114846,0.3706439418248069,0.3706439418248069,0.3706439418248069,0.3201858710473182,0.3201858710473182,0.3201858710473182
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.9930729643742022,0.9930729643742022,0.9930729643742022,0.006792035425684396,0.006792035425684396,0.006792035425684396,6.452362176455975e-05,6.452362176455975e-05,6.452362176455975e-05,7.04765773556164e-05,7.04765773556164e-05,7.04765773556164e-05
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.9758031114330611,0.9758031114330611,0.9758031114330611,0.023973263507802225,0.023973263507802225,0.023973263507802225,0.00010910861028024522,0.00010910861028024522,0.00010910861028024522,0.00011451644788049354,0.00011451644788049354,0.00011451644788049354
RS_CONT,3.0488158918314885e-05,3.0488158918314885e-05,3.0488158918314885e-05,0.0006620409468849574,0.0006620409468849574,0.0006620409468849574,0.4794624468488527,0.4794624468488527,0.4794624468488527,0.5198450240448241,0.5198450240448241,0.5198450240448241
