algo,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Evolution_mean,Evolution_p05,Evolution_p95,Random_mean,Random_p05,Random_p95
"GA(pop=100,pc=0.9,pm=0.02)",0.00013171724282821112,0.00013171724282821112,0.00013171724282821112,0.9944421599548291,0.9944421599548291,0.9944421599548291,0.005426122801348193,0.005426122801348193,0.005426122801348193
"GA(pop=50,pc=0.9,pm=0.02)",0.015073012931316786,0.015073012931316786,0.015073012931316786,0.9832646655969565,0.9832646655969565,0.9832646655969565,0.0016623214707434182,0.0016623214707434182,0.0016623214707434182
"GA(pop=50,pc=0.9,pm=0.05)",0.00014312747799434582,0.00014312747799434582,0.00014312747799434582,0.9941441098886723,0.9941441098886723,0.9941441098886723,0.005712762632339082,0.005712762632339082,0.005712762632339082
HC(flips=1),0.9982651459074057,0.9982651459074057,0.9982651459074057,0.000560960200730328,0.000560960200730328,0.000560960200730328,0.001173893890865825,0.001173893890865825,0.001173893890865825
HC(flips=2),0.009883788655434619,0.009883788655434619,0.009883788655434619,0.2048750105606707,0.2048750105606707,0.2048750105606707,0.7852412007831093,0.7852412007831093,0.7852412007831093
RS_BIN,0.001306873720290366,0.001306873720290366,0.001306873720290366,0.0012498537284175077,0.0012498537284175077,0.0012498537284175077,0.9974432725502945,0.9974432725502945,0.9974432725502945
"SA(T0=1.0,alpha=0.995,flips=1)",0.9982651459074057,0.9982651459074057,0.9982651459074057,0.000560960200730328,0.000560960200730328,0.000560960200730328,0.001173893890865825,0.001173893890865825,0.001173893890865825
"SA(T0=2.0,alpha=0.99,flips=1)",0.9982651459074057,0.9982651459074057,0.9982651459074057,0.000560960200730328,0.000560960200730328,0.000560960200730328,0.001173893890865825,0.001173893890865825,0.001173893890865825
"SA(T0=2.0,alpha=0.995,flips=2)",0.00988686555935983,0.00988686555935983,0.00988686555935983,0.11677932651363354,0.11677932651363354,0.11677932651363354,0.8733338079261332,0.8733338079261332,0.8733338079261332
