algo,nn1,d1,nn2,d2,nn3,d3
"GA(pop=100,pc=0.9,pm=0.02)",RS_BIN,0.006770902896315434,"GA(pop=50,pc=0.9,pm=0.05)",0.13756383939140493,"GA(pop=50,pc=0.9,pm=0.02)",0.23381028733560716
"GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",0.1122606625253938,"GA(pop=100,pc=0.9,pm=0.02)",0.23381028733560716,RS_BIN,0.2368079608967909
"GA(pop=50,pc=0.9,pm=0.05)","GA(pop=50,pc=0.9,pm=0.02)",0.1122606625253938,"GA(pop=100,pc=0.9,pm=0.02)",0.13756383939140493,RS_BIN,0.15555350499914844
HC(flips=1),"SA(T0=2.0,alpha=0.99,flips=1)",0.01819528904434997,"SA(T0=1.0,alpha=0.995,flips=1)",0.02005032986296318,HC(flips=2),1.5301317209071637
HC(flips=2),"SA(T0=2.0,alpha=0.995,flips=2)",0.06219614188484224,"GA(pop=50,pc=0.9,pm=0.02)",0.9320156996438923,"GA(pop=50,pc=0.9,pm=0.05)",0.9379398207974207
RS_BIN,"GA(pop=100,pc=0.9,pm=0.02)",0.006770902896315434,"GA(pop=50,pc=0.9,pm=0.05)",0.15555350499914844,"GA(pop=50,pc=0.9,pm=0.02)",0.2368079608967909
"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)",0.003130619174852467,HC(flips=1),0.02005032986296318,HC(flips=2),1.53208417806486
"SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=1.0,alpha=0.995,flips=1)",0.003130619174852467,HC(flips=1),0.01819528904434997,HC(flips=2),1.5326424055980052
"SA(T0=2.0,alpha=0.995,flips=2)",HC(flips=2),0.06219614188484224,"GA(pop=50,pc=0.9,pm=0.05)",0.7270789006793263,"GA(pop=50,pc=0.9,pm=0.02)",0.7874989815447497
