domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,PSO_global_mean,PSO_global_p05,PSO_global_p95,PSO_local_mean,PSO_local_p05,PSO_local_p95,Random_mean,Random_p05,Random_p95
cont,800,REL,"DE(pop=20,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.280081282349429,0.27581090067083375,0.2847076716957384,0.24823324019758666,0.2373427068425765,0.25829099098275143,0.24135636746603806,0.23069375710346623,0.25193033652609487,0.23032910998694636,0.21564808147114836,0.2472186827389538
cont,800,REL,"DE(pop=40,F=0.8,CR=0.9)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.26007076086568887,0.24835535012540286,0.27138204232530017,0.23224091246091075,0.22453591700497633,0.24146021762319594,0.22415073181717254,0.21804675922436023,0.23115497017084952,0.28353759485622804,0.27943336517201794,0.2884993118192771
cont,800,REL,"ES_ML(mu=10,lam=40,sigma=0.3)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2501225040363692,0.2401519901019438,0.2613396158702176,0.22460010614591627,0.2198828978103965,0.22992646642994355,0.2209442555035418,0.21729093140459765,0.22449395442757616,0.30433313431417264,0.2996301563809429,0.30939985091912625
cont,800,REL,"ES_ML(mu=20,lam=80,sigma=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2501225040363692,0.2401519901019438,0.2613396158702176,0.22460010614591627,0.2198828978103965,0.22992646642994355,0.2209442555035418,0.21729093140459765,0.22449395442757616,0.30433313431417264,0.2996301563809429,0.30939985091912625
cont,800,REL,HC_CONT(sigma=0.2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.24997452349631874,0.24009755549816095,0.2612514631720071,0.22236512842084455,0.21900882799207547,0.22533227588741844,0.2293090411794764,0.22159456529566446,0.23994171695938296,0.2983513069033603,0.28965437675075234,0.30583541587672014
cont,800,REL,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2420846208765086,0.23122105528127163,0.2520151929894237,0.2730127644128969,0.26559143915670425,0.27996901826009674,0.2809417309176691,0.2757567814754219,0.2859298191410771,0.20396088379292526,0.2002058361377286,0.20821966229187386
cont,800,REL,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2584889836019872,0.25114857218261966,0.26409024333197534,0.25938831414687424,0.2526101451517319,0.26546196141519257,0.2441044112881368,0.22954768191355956,0.2635476702787388,0.2380182909630019,0.21856215130434095,0.25076983925435403
cont,800,REL,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.24645418091716917,0.23465064571321534,0.25711227052388463,0.278059802238474,0.27469001769383916,0.28208143982573686,0.2702569245133186,0.2595576219296957,0.27903327817691886,0.20522909233103812,0.19992228296238435,0.21214729682268327
cont,800,REL,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.24050093476788995,0.22705970847349047,0.25216311267023556,0.2756085116556816,0.2710356005483159,0.28042989677596647,0.27413833449220626,0.26869544266708467,0.28011579584616847,0.20975221908422223,0.20641393692795118,0.21376326626843
cont,800,REL,RS_CONT,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,200,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",0.2501225040363692,0.24015199010194377,0.2613396158702176,0.22460010614591625,0.2198828978103965,0.22992646642994355,0.2209442555035418,0.21729093140459765,0.22449395442757616,0.30433313431417264,0.2996301563809429,0.30939985091912625
