,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","ES_ML(mu=10,lam=40,sigma=0.3)","ES_ML(mu=20,lam=80,sigma=0.2)",HC_CONT(sigma=0.2),"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
"DE(pop=20,F=0.8,CR=0.9)",0.0,0.25828553024696754,1.3784841218045472,1.8670015905872934,0.08551107670706792,0.03341154919380873,0.03876950698096815,0.030429858945272614,0.024289120988207014,1.603034903576325,0.0813620978129348
"DE(pop=40,F=0.8,CR=0.9)",0.25828553024696754,0.0,0.9400647637345225,1.4512768176346384,0.3951433172414527,0.39534187905626306,0.17395779622795515,0.3074412074354158,0.36409406297850566,1.0013202215138164,0.394416536329968
"ES_ML(mu=10,lam=40,sigma=0.3)",1.3784841218045472,0.9400647637345225,0.0,0.25819068824767033,1.2250228703281325,1.5052492717874602,1.2681672552360101,1.4266576701544251,1.458550704790753,0.14250640112713286,1.236515747305766
"ES_ML(mu=20,lam=80,sigma=0.2)",1.8670015905872934,1.4512768176346384,0.25819068824767033,0.0,1.7565466720391156,1.9397931076975212,1.803791834487641,1.900921643282577,1.918931996373541,0.1413104763195676,1.7658559278610066
HC_CONT(sigma=0.2),0.08551107670706792,0.3951433172414527,1.2250228703281325,1.7565466720391156,0.0,0.07665916929432792,0.15394912159958818,0.1320276285278681,0.07453754994205775,1.5567198375868943,0.001242234967217093
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.03341154919380873,0.39534187905626306,1.5052492717874602,1.9397931076975212,0.07665916929432792,0.0,0.09262386233426911,0.03396612960008971,0.005514671356653733,1.736032873244612,0.07126964396721203
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.03876950698096815,0.17395779622795515,1.2681672552360101,1.803791834487641,0.15394912159958818,0.09262386233426911,0.0,0.03739264166954115,0.07546221748231785,1.4686663588060305,0.15079614715366862
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.030429858945272614,0.3074412074354158,1.4266576701544251,1.900921643282577,0.1320276285278681,0.03396612960008971,0.03739264166954115,0.0,0.025245076358048735,1.6382035576351064,0.12697324645167474
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.024289120988207014,0.36409406297850566,1.458550704790753,1.918931996373541,0.07453754994205775,0.005514671356653733,0.07546221748231785,0.025245076358048735,0.0,1.702956636862861,0.06989026897019812
RS_CONT,1.603034903576325,1.0013202215138164,0.14250640112713286,0.1413104763195676,1.5567198375868943,1.736032873244612,1.4686663588060305,1.6382035576351064,1.702956636862861,0.0,1.5650556154060948
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",0.0813620978129348,0.394416536329968,1.236515747305766,1.7658559278610066,0.001242234967217093,0.07126964396721203,0.15079614715366862,0.12697324645167474,0.06989026897019812,1.5650556154060948,0.0
