cluster,algo_variant
0,HC_CONT(sigma=0.2)
0,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
0,"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)"
0,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"
0,"DE(pop=20,F=0.8,CR=0.9)"
0,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"
0,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)"
1,"DE(pop=40,F=0.8,CR=0.9)"
2,"ES_ML(mu=10,lam=40,sigma=0.3)"
2,"ES_ML(mu=20,lam=80,sigma=0.2)"
2,RS_CONT
