domain,budget,view,n_algos,n_instances,anchor_mode,anchors_json,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot
bin,300,ABS,13,60,rel_medoid,"{""Evolution"": ""GA(pop=50,pc=0.9,pm=0.02)"", ""LocalSearch"": ""SA(T0=2.0,alpha=0.99,flips=1)"", ""Random"": ""RS_BIN""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
bin,300,REL,13,60,rel_medoid,"{""Evolution"": ""GA(pop=50,pc=0.9,pm=0.02)"", ""LocalSearch"": ""SA(T0=2.0,alpha=0.99,flips=1)"", ""Random"": ""RS_BIN""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
bin,800,ABS,13,60,rel_medoid,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
bin,800,REL,13,60,rel_medoid,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
cont,300,ABS,11,40,rel_medoid,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
cont,300,REL,11,40,rel_medoid,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
cont,800,ABS,11,40,rel_medoid,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
cont,800,REL,11,40,rel_medoid,"{""Evolution"": ""DE(pop=20,F=0.8,CR=0.9)"", ""PSO_global"": ""PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)"", ""PSO_local"": ""PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)"", ""Random"": ""RS_CONT""}",beta_mean,zscore,logit_clip,variance,cosine,6.0,200
