instance_id,problem,domain,budget,bounds,dim_or_n,algo_variant,algo_base,run_id,seed,best_value,best_eval,target,success
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,20,50000160,0.0,201,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,21,50000161,0.0,162,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,22,50000162,0.0,185,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,23,50000163,0.0,157,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,24,50000164,0.0,159,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,25,50000165,0.0,137,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,26,50000166,0.0,100,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,27,50000167,0.0,141,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,28,50000168,0.0,213,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=1),HC,29,50000169,0.0,170,0.0,1
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,0,50000824,5.0,488,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,1,50000825,1.0,489,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,2,50000826,4.0,494,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,3,50000827,3.0,486,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,4,50000828,3.0,493,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,5,50000829,2.0,490,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,6,50000830,2.0,494,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,7,50000831,3.0,490,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,8,50000832,1.0,488,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,9,50000833,4.0,496,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,10,50000834,1.0,444,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,11,50000835,3.0,485,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,12,50000836,2.0,491,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,13,50000837,2.0,480,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,14,50000838,1.0,484,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,15,50000839,2.0,470,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,16,50000840,4.0,500,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,17,50000841,2.0,499,0.0,0
BIN::onemax::n=50::seed=499277862,onemax,bin,500,,50,HC(flips=2),HC,18,50000842,2.0,475,0.0,0
