domain,group_type,size_bin,budget,instance_id,policy_algo,baseline_algo,oracle_value,policy_value,baseline_value,policy_regret,baseline_regret
continuous,ackley,d<=10,2000,cont_ackley_d10_0011,SA,SA,1.8885250395973938,1.8885250395973938,1.8885250395973938,0.0,0.0
continuous,ackley,d<=10,10000,cont_ackley_d10_0011,DE,SA,0.9724182826702314,0.9724182826702314,1.4483376701547985,0.0,0.4759193874845671
continuous,ackley,d<=10,2000,cont_ackley_d10_0027,SA,SA,1.8220199884718145,1.8220199884718145,1.8220199884718145,0.0,0.0
continuous,ackley,d<=10,10000,cont_ackley_d10_0027,DE,SA,0.9757873834132897,0.9757873834132897,1.3581181418088224,0.0,0.38233075839553265
continuous,ackley,d>10,2000,cont_ackley_d20_0015,SA,SA,3.4756792045932157,3.4756792045932157,3.4756792045932157,0.0,0.0
continuous,ackley,d>10,10000,cont_ackley_d20_0015,SA,SA,2.616429546660166,2.616429546660166,2.616429546660166,0.0,0.0
continuous,ackley,d<=5,2000,cont_ackley_d2_0003,DE,SA,4.440892098500626e-16,4.440892098500626e-16,0.10866894634857945,0.0,0.108668946348579
continuous,ackley,d<=5,10000,cont_ackley_d2_0003,DE,SA,4.440892098500626e-16,4.440892098500626e-16,0.03582780349947656,0.0,0.03582780349947612
continuous,ackley,d<=5,2000,cont_ackley_d2_0019,DE,SA,4.440892098500626e-16,4.440892098500626e-16,0.06513446100267303,0.0,0.06513446100267259
continuous,ackley,d<=5,10000,cont_ackley_d2_0019,DE,SA,0.026973323366996472,0.5159855114059743,0.026973323366996472,0.4890121880389778,0.0
continuous,ackley,d<=5,2000,cont_ackley_d5_0007,DE,SA,0.060535207922699376,0.060535207922699376,0.8151650957648446,0.0,0.7546298878421452
continuous,ackley,d<=5,10000,cont_ackley_d5_0007,DE,SA,8.92005580510613e-11,8.92005580510613e-11,0.3532105811361423,0.0,0.35321058104694175
continuous,ackley,d<=5,2000,cont_ackley_d5_0023,DE,SA,0.080610669445461,0.080610669445461,0.7758964032266538,0.0,0.6952857337811927
continuous,ackley,d<=5,10000,cont_ackley_d5_0023,DE,SA,1.4703163131457586e-10,1.4703163131457586e-10,0.5389386573001237,0.0,0.5389386571530921
continuous,rastrigin,d<=10,2000,cont_rastrigin_d10_0010,SA,SA,64.31119306589842,64.31119306589842,64.31119306589842,0.0,0.0
continuous,rastrigin,d<=10,10000,cont_rastrigin_d10_0010,SA,SA,36.67074938489385,36.67074938489385,36.67074938489385,0.0,0.0
continuous,rastrigin,d<=10,2000,cont_rastrigin_d10_0026,SA,SA,55.88037217045262,55.88037217045262,55.88037217045262,0.0,0.0
continuous,rastrigin,d<=10,10000,cont_rastrigin_d10_0026,SA,SA,43.782559635104384,43.782559635104384,43.782559635104384,0.0,0.0
continuous,rastrigin,d>10,2000,cont_rastrigin_d20_0014,SA,SA,200.62334271752994,200.62334271752994,200.62334271752994,0.0,0.0
continuous,rastrigin,d>10,10000,cont_rastrigin_d20_0014,SA,SA,156.35370998947604,156.35370998947604,156.35370998947604,0.0,0.0
continuous,rastrigin,d<=5,2000,cont_rastrigin_d2_0002,SA,SA,0.3160614830031747,0.3160614830031747,0.3160614830031747,0.0,0.0
continuous,rastrigin,d<=5,10000,cont_rastrigin_d2_0002,DE,SA,0.018683538599668027,0.3979836228373159,0.018683538599668027,0.3793000842376479,0.0
continuous,rastrigin,d<=5,2000,cont_rastrigin_d2_0018,SA,SA,0.14531930072700874,0.14531930072700874,0.14531930072700874,0.0,0.0
continuous,rastrigin,d<=5,10000,cont_rastrigin_d2_0018,DE,SA,0.026312914395978736,0.3079032361470141,0.026312914395978736,0.2815903217510354,0.0
continuous,rastrigin,d<=5,2000,cont_rastrigin_d5_0006,SA,SA,9.197649168140003,9.197649168140003,9.197649168140003,0.0,0.0
continuous,rastrigin,d<=5,10000,cont_rastrigin_d5_0006,DE,SA,1.4435623233892798,1.4435623233892798,9.450304372199948,0.0,8.006742048810668
continuous,rastrigin,d<=5,2000,cont_rastrigin_d5_0022,SA,SA,13.802249980240088,15.478698539718247,15.478698539718247,1.6764485594781586,1.6764485594781586
continuous,rastrigin,d<=5,10000,cont_rastrigin_d5_0022,DE,SA,0.697584369223901,0.697584369223901,8.340790952741264,0.0,7.643206583517363
continuous,rosenbrock,d<=10,2000,cont_rosenbrock_d10_0009,SA,SA,82.17656501947998,82.17656501947998,82.17656501947998,0.0,0.0
continuous,rosenbrock,d<=10,10000,cont_rosenbrock_d10_0009,DE,SA,29.90899622994158,29.90899622994158,49.120391150206906,0.0,19.211394920265327
continuous,rosenbrock,d<=10,2000,cont_rosenbrock_d10_0025,SA,SA,209.36874356250138,209.36874356250138,209.36874356250138,0.0,0.0
