algo,rung,score,seconds,params_json,pop,intensity_max
ALO,rung1,0.03375722435641959,6.670039892196655,"{""intensity_max"": 4773.687972136417, ""pop"": 55}",55,4773.687972136417
ALO,rung1,0.10634447148378406,7.6045613288879395,"{""intensity_max"": 175.05508813712723, ""pop"": 25}",25,175.05508813712723
ALO,rung1,-0.03034380832338668,7.415116786956787,"{""intensity_max"": 981.7041345275009, ""pop"": 29}",29,981.7041345275009
ALO,rung1,0.018624259040396995,6.693228721618652,"{""intensity_max"": 53975.16809140898, ""pop"": 48}",48,53975.16809140898
ALO,rung1,0.002043455220797241,6.941767454147339,"{""intensity_max"": 2634.209284823071, ""pop"": 39}",39,2634.209284823071
ALO,rung1,0.007203160403528308,7.717049837112427,"{""intensity_max"": 543.6965229686646, ""pop"": 20}",20,543.6965229686646
ALO,rung1,0.0017369666109008919,6.723727464675903,"{""intensity_max"": 161958.63829453252, ""pop"": 46}",46,161958.63829453252
ALO,rung1,0.010493507453447681,7.085692882537842,"{""intensity_max"": 1651.1147682644328, ""pop"": 40}",40,1651.1147682644328
ALO,rung1,0.021834894101391,6.254159927368164,"{""intensity_max"": 356403.18156457914, ""pop"": 70}",70,356403.18156457914
ALO,rung1,0.05218240208498709,5.9947099685668945,"{""intensity_max"": 3386.1867465043943, ""pop"": 67}",67,3386.1867465043943
ALO,rung1,0.04095642996829735,6.376854181289673,"{""intensity_max"": 2807.856733298022, ""pop"": 59}",59,2807.856733298022
ALO,rung1,0.05971985308176836,5.992722272872925,"{""intensity_max"": 471.92139721916334, ""pop"": 67}",67,471.92139721916334
ALO,rung1,0.06870438511380089,6.249770402908325,"{""intensity_max"": 17936.113992843457, ""pop"": 75}",75,17936.113992843457
ALO,rung1,0.036389214106303525,6.813958644866943,"{""intensity_max"": 370.8636476203274, ""pop"": 43}",43,370.8636476203274
ALO,rung1,0.03684879420535436,6.045185804367065,"{""intensity_max"": 641701.9129167168, ""pop"": 63}",63,641701.9129167168
ALO,rung1,0.005210626016013242,6.387661933898926,"{""intensity_max"": 749700.7954667159, ""pop"": 59}",59,749700.7954667159
ALO,rung1,0.013881863928058291,6.6946494579315186,"{""intensity_max"": 393847.4758889427, ""pop"": 48}",48,393847.4758889427
ALO,rung1,0.08988034128790179,6.478403568267822,"{""intensity_max"": 124.95400062565345, ""pop"": 51}",51,124.95400062565345
ALO,rung1,0.05626154043849069,6.087160587310791,"{""intensity_max"": 14961.883566134567, ""pop"": 68}",68,14961.883566134567
ALO,rung1,0.09709119396328836,6.1361799240112305,"{""intensity_max"": 421.87769801786266, ""pop"": 74}",74,421.87769801786266
ALO,rung1,0.003243724762420963,7.13173508644104,"{""intensity_max"": 3317.3563809595657, ""pop"": 40}",40,3317.3563809595657
ALO,rung1,0.011219787712554163,6.418242454528809,"{""intensity_max"": 2003.8953494015823, ""pop"": 56}",56,2003.8953494015823
ALO,rung1,0.02971588444571638,6.34773325920105,"{""intensity_max"": 606934.9553103073, ""pop"": 62}",62,606934.9553103073
ALO,rung1,0.027332912394066322,6.318010330200195,"{""intensity_max"": 30703.1655749741, ""pop"": 62}",62,30703.1655749741
ALO,rung1,0.038934343550435624,6.147723436355591,"{""intensity_max"": 203573.73636303435, ""pop"": 69}",69,203573.73636303435
ALO,rung1,-0.01681825830035988,6.830513954162598,"{""intensity_max"": 455896.6595203331, ""pop"": 49}",49,455896.6595203331
ALO,rung1,0.013849417123609875,6.391993045806885,"{""intensity_max"": 933.2931676538622, ""pop"": 53}",53,933.2931676538622
ALO,rung1,0.14376098616600297,6.534298896789551,"{""intensity_max"": 136.3776169529448, ""pop"": 54}",54,136.3776169529448
ALO,rung1,0.13864335653739657,7.267585754394531,"{""intensity_max"": 120.42038111490642, ""pop"": 37}",37,120.42038111490642
ALO,rung1,0.03642925352945153,6.366661548614502,"{""intensity_max"": 48267.16015331774, ""pop"": 71}",71,48267.16015331774
ALO,rung1,0.0452351772023451,6.316398620605469,"{""intensity_max"": 381222.27200475096, ""pop"": 66}",66,381222.27200475096
ALO,rung1,-0.06016657911743356,7.57555890083313,"{""intensity_max"": 44287.19332608663, ""pop"": 25}",25,44287.19332608663
ALO,rung1,-0.05748279496391362,7.505799293518066,"{""intensity_max"": 8774.852600171584, ""pop"": 27}",27,8774.852600171584
ALO,rung1,0.014291796700272641,6.008467435836792,"{""intensity_max"": 244722.37181556708, ""pop"": 67}",67,244722.37181556708
ALO,rung1,-0.07031455357403826,7.571576356887817,"{""intensity_max"": 637975.5036277345, ""pop"": 23}",23,637975.5036277345
ALO,rung1,0.06305969242774301,6.118985652923584,"{""intensity_max"": 138.90052035152007, ""pop"": 64}",64,138.90052035152007
ALO,rung1,-0.09897662359563997,7.577693700790405,"{""intensity_max"": 4755.619090990499, ""pop"": 23}",23,4755.619090990499
ALO,rung1,-0.01672207259504782,7.236736297607422,"{""intensity_max"": 79537.7447826701, ""pop"": 37}",37,79537.7447826701
ALO,rung1,0.04344180063581082,6.17820143699646,"{""intensity_max"": 511912.06642952416, ""pop"": 74}",74,511912.06642952416
ALO,rung1,0.06612495691632664,5.443202972412109,"{""intensity_max"": 26615.663527326087, ""pop"": 77}",77,26615.663527326087
ALO,rung1,-0.025291029007965593,6.907972574234009,"{""intensity_max"": 11748.25876424025, ""pop"": 39}",39,11748.25876424025
ALO,rung1,-0.0030996449046215013,6.402973413467407,"{""intensity_max"": 976.1720057399267, ""pop"": 56}",56,976.1720057399267
ALO,rung1,0.07042513732524897,5.530242681503296,"{""intensity_max"": 472.5347018632834, ""pop"": 78}",78,472.5347018632834
ALO,rung1,-0.07882384601216863,7.720952749252319,"{""intensity_max"": 2032.8581125544376, ""pop"": 20}",20,2032.8581125544376
ALO,rung1,-0.015212894911121488,7.074735879898071,"{""intensity_max"": 5550.302728539334, ""pop"": 41}",41,5550.302728539334
ALO,rung1,0.02090075972958133,6.865633249282837,"{""intensity_max"": 270727.1855056987, ""pop"": 47}",47,270727.1855056987
ALO,rung1,0.015678894398618914,6.500892877578735,"{""intensity_max"": 16665.96457524521, ""pop"": 60}",60,16665.96457524521
ALO,rung1,0.016670814769384645,6.628244638442993,"{""intensity_max"": 793186.2128399053, ""pop"": 52}",52,793186.2128399053
ALO,rung1,0.01639074361279369,6.232731342315674,"{""intensity_max"": 8018.4615271980165, ""pop"": 61}",61,8018.4615271980165
ALO,rung1,0.08161563235629832,5.595013380050659,"{""intensity_max"": 2600.5414921886036, ""pop"": 79}",79,2600.5414921886036
ALO,rung1,0.017600328646964758,6.612237453460693,"{""intensity_max"": 830.0780704033854, ""pop"": 52}",52,830.0780704033854
ALO,rung1,-0.08512309174622207,7.714555978775024,"{""intensity_max"": 143267.4600303915, ""pop"": 20}",20,143267.4600303915
ALO,rung1,0.11147128799856137,6.349687576293945,"{""intensity_max"": 221.64165649178648, ""pop"": 71}",71,221.64165649178648
ALO,rung1,0.13394200055797317,7.08587908744812,"{""intensity_max"": 151.32377799660122, ""pop"": 40}",40,151.32377799660122
ALO,rung1,-0.0741548686752927,7.595064401626587,"{""intensity_max"": 33826.24370472017, ""pop"": 21}",21,33826.24370472017
ALO,rung1,-0.10048113854686785,7.520179271697998,"{""intensity_max"": 17884.800865241243, ""pop"": 22}",22,17884.800865241243
ALO,rung1,0.0743918891043977,6.427036285400391,"{""intensity_max"": 247.43376555358748, ""pop"": 53}",53,247.43376555358748
ALO,rung1,-0.027378138282932618,7.278809309005737,"{""intensity_max"": 733.1072161065956, ""pop"": 28}",28,733.1072161065956
