algo_variant,target,budget,fitness_score,fitness_lo,fitness_hi
ALO,easy,300,0.05312667856108833,0.04102912735301894,0.06505336723298691
ALO,easy,500,0.058562552342269474,0.04419969495868078,0.07294490025332975
ALO,easy,800,0.08852362050900806,0.07057395156432977,0.1061818856435413
ALO,easy,1000,0.08948649848775682,0.07411177780917796,0.10537011186136355
ALO,hard,300,0.05312667856108833,0.04102912735301894,0.06505336723298691
ALO,hard,500,0.058562552342269474,0.04419969495868078,0.07294490025332975
ALO,hard,800,0.08852362050900806,0.07057395156432977,0.1061818856435413
ALO,hard,1000,0.08948649848775682,0.07411177780917796,0.10537011186136355
ALO,med,300,0.05312667856108833,0.04102912735301894,0.06505336723298691
ALO,med,500,0.058562552342269474,0.04419969495868078,0.07294490025332975
ALO,med,800,0.08852362050900806,0.07057395156432977,0.1061818856435413
ALO,med,1000,0.08948649848775682,0.07411177780917796,0.10537011186136355
BA,easy,300,0.0717144711445536,0.057446679574576574,0.08608452936050201
BA,easy,500,0.1155235659508598,0.09625405450314993,0.13508126537018597
BA,easy,800,0.14482755501724626,0.12641721161769817,0.1618324355637985
BA,easy,1000,0.1798399945256682,0.16194506755088645,0.19850109081347947
BA,hard,300,0.0717144711445536,0.057446679574576574,0.08608452936050201
BA,hard,500,0.1155235659508598,0.09625405450314993,0.13508126537018597
BA,hard,800,0.14482755501724626,0.12641721161769817,0.1618324355637985
BA,hard,1000,0.1798399945256682,0.16194506755088645,0.19850109081347947
BA,med,300,0.0717144711445536,0.057446679574576574,0.08608452936050201
BA,med,500,0.1155235659508598,0.09625405450314993,0.13508126537018597
BA,med,800,0.14482755501724626,0.12641721161769817,0.1618324355637985
BA,med,1000,0.1798399945256682,0.16194506755088645,0.19850109081347947
FA,easy,300,0.5237534616149526,0.5160773507393119,0.5317069975638616
FA,easy,500,0.6196969657784259,0.6130602483477613,0.6262168938959107
FA,easy,800,0.679344017650819,0.6747249704950758,0.6840603197231686
FA,easy,1000,0.7115854765608358,0.706936234534756,0.7165035095594462
FA,hard,300,0.5237534616149526,0.5160773507393119,0.5317069975638616
FA,hard,500,0.6196969657784259,0.6130602483477613,0.6262168938959107
FA,hard,800,0.679344017650819,0.6747249704950758,0.6840603197231686
FA,hard,1000,0.7115854765608358,0.706936234534756,0.7165035095594462
FA,med,300,0.5237534616149526,0.5160773507393119,0.5317069975638616
FA,med,500,0.6196969657784259,0.6130602483477613,0.6262168938959107
FA,med,800,0.679344017650819,0.6747249704950758,0.6840603197231686
FA,med,1000,0.7115854765608358,0.706936234534756,0.7165035095594462
GWO,easy,300,0.8777129711632567,0.864419429056137,0.8907287795493948
GWO,easy,500,0.9548221850873314,0.9320980499805968,0.9738068761120324
GWO,easy,800,0.9896260243226364,0.9770286382222597,0.9986142792201954
GWO,easy,1000,0.989387096749542,0.9738300886513633,0.9993599274781831
GWO,hard,300,0.8777129711632567,0.864419429056137,0.8907287795493948
GWO,hard,500,0.9548221850873314,0.9320980499805968,0.9738068761120324
GWO,hard,800,0.9896260243226364,0.9770286382222597,0.9986142792201954
GWO,hard,1000,0.989387096749542,0.9738300886513633,0.9993599274781831
GWO,med,300,0.8777129711632567,0.864419429056137,0.8907287795493948
GWO,med,500,0.9548221850873314,0.9320980499805968,0.9738068761120324
GWO,med,800,0.9896260243226364,0.9770286382222597,0.9986142792201954
GWO,med,1000,0.989387096749542,0.9738300886513633,0.9993599274781831
MFO,easy,300,0.6363006355395247,0.6276564309943405,0.6445901187748004
MFO,easy,500,0.7213639767880341,0.7141357830392617,0.7287710680316695
MFO,easy,800,0.7605279412855634,0.75211945300023,0.7687922883412067
MFO,easy,1000,0.7701899693902938,0.7618122493327553,0.778756891582073
MFO,hard,300,0.6363006355395247,0.6276564309943405,0.6445901187748004
MFO,hard,500,0.7213639767880341,0.7141357830392617,0.7287710680316695
MFO,hard,800,0.7605279412855634,0.75211945300023,0.7687922883412067
MFO,hard,1000,0.7701899693902938,0.7618122493327553,0.778756891582073
MFO,med,300,0.6363006355395247,0.6276564309943405,0.6445901187748004
MFO,med,500,0.7213639767880341,0.7141357830392617,0.7287710680316695
MFO,med,800,0.7605279412855634,0.75211945300023,0.7687922883412067
MFO,med,1000,0.7701899693902938,0.7618122493327553,0.778756891582073
WOA,easy,300,0.7310262601788288,0.7230199620673725,0.7397880409515469
WOA,easy,500,0.8405247648745273,0.8338781533788111,0.8475177447080386
WOA,easy,800,0.8956967083516862,0.8891346288200179,0.9025950570733869
WOA,easy,1000,0.9276574120187633,0.9210444846424993,0.934354309001455
WOA,hard,300,0.7310262601788288,0.7230199620673725,0.7397880409515469
WOA,hard,500,0.8405247648745273,0.8338781533788111,0.8475177447080386
WOA,hard,800,0.8956967083516862,0.8891346288200179,0.9025950570733869
WOA,hard,1000,0.9276574120187633,0.9210444846424993,0.934354309001455
WOA,med,300,0.7310262601788288,0.7230199620673725,0.7397880409515469
WOA,med,500,0.8405247648745273,0.8338781533788111,0.8475177447080386
WOA,med,800,0.8956967083516862,0.8891346288200179,0.9025950570733869
WOA,med,1000,0.9276574120187633,0.9210444846424993,0.934354309001455
