algo_variant,label,anchor_PSO,anchor_ES,w_PSO,w_PSO_lo,w_PSO_hi,w_ES,w_ES_lo,w_ES_hi,p_PSO,p_ES,p_FLAT,Delta_ES_minus_PSO,Delta_lo,Delta_hi,headroom,headroom_lo,headroom_hi
FA,ES,BA,WOA,0.04981143934707782,0.04529870588324487,0.05452241689892183,0.9501885606529221,0.9454775831010782,0.9547012941167552,0.0,1.0,0.0,-2.9495099938653464,-3.048120080315707,-2.8530782424376717,0.18783201494588253,0.17911656956900734,0.19653147685436317
MFO,ES,BA,WOA,0.008549476042564499,0.007612812957434984,0.009592501349657742,0.9914505239574353,0.9904074986503423,0.992387187042565,0.0,1.0,0.0,-4.755046818343626,-4.870280599216443,-4.637134790975775,0.1338893338507706,0.12278485600744163,0.14518408688080156
GWO,ES,BA,WOA,0.0006922930877385656,0.0006429223124695341,0.0007437174872792465,0.9993077069122615,0.9992562825127209,0.9993570776875306,0.0,1.0,0.0,-7.275530027897103,-7.348843534426676,-7.203105322565241,0.11167412558628391,0.09164338468584984,0.12946190752251507
WOA,ES,BA,WOA,0.0006538473226398438,0.0006091412174976403,0.0006988480670795784,0.9993461526773603,0.9993011519329205,0.9993908587825024,0.0,1.0,0.0,-7.332610596162766,-7.402851106964275,-7.265378104521805,0.19663115183993385,0.18693084780277006,0.2065402601582434
BA,PSO,BA,WOA,0.9993461526773603,0.9993011519329205,0.9993908587825024,0.0006538473226398438,0.0006091412174976403,0.0006988480670795784,1.0,0.0,0.0,7.332610596162766,7.265378104521805,7.402851106964275,0.10812552338111495,0.08282058013659457,0.13232487666273596
ALO,PSO,BA,WOA,0.9993099425635108,0.9992506556997669,0.9993633461332859,0.0006900574364898277,0.0006366538667141123,0.0007493443002331906,0.9245,0.0,0.0755,7.278945493737637,7.195562374998742,7.358647573818589,0.03636079770885804,0.013347531874501262,0.06010377736333257
