algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.05)",0.011457412942358136
"GA(pop=100,pc=0.9,pm=0.02)",2,HC(flips=2),0.2942361439851544
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=100,pc=0.9,pm=0.02)",0.4617791449092091
"GA(pop=50,pc=0.9,pm=0.02)",2,"GA(pop=50,pc=0.9,pm=0.05)",0.5216556190187285
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=100,pc=0.9,pm=0.02)",0.011457412942358136
"GA(pop=50,pc=0.9,pm=0.05)",2,HC(flips=2),0.3118684155330015
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",1.1102230246251565e-16
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",1.1102230246251565e-16
HC(flips=2),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.033586773697628636
HC(flips=2),2,RS_BIN,0.2296832746499422
RS_BIN,1,"SA(T0=2.0,alpha=0.995,flips=2)",0.22486448406770532
RS_BIN,2,HC(flips=2),0.2296832746499422
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),1.1102230246251565e-16
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",1.1102230246251565e-16
"SA(T0=2.0,alpha=0.99,flips=1)",1,HC(flips=1),1.1102230246251565e-16
"SA(T0=2.0,alpha=0.99,flips=1)",2,"SA(T0=1.0,alpha=0.995,flips=1)",1.1102230246251565e-16
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.033586773697628636
"SA(T0=2.0,alpha=0.995,flips=2)",2,RS_BIN,0.22486448406770532
