domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
bin,2000,REL,"GA(pop=100,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3653725057607728,0.3546628101465316,0.37798155160755925,0.29302035015984496,0.27905560689161185,0.30721585232556126,0.3416071440793819,0.32861421525886314,0.35408728021523084
bin,2000,REL,"GA(pop=50,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.34954662823933624,0.3297335322343006,0.36827661201860556,0.31999812391910365,0.2940783320142287,0.34934619908053155,0.3304552478415596,0.31439402014791284,0.34542180815071877
bin,2000,REL,"GA(pop=50,pc=0.9,pm=0.05)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36691557559529864,0.3565759342993645,0.37919816572108384,0.29236533157589434,0.27919848269593506,0.3059177245437883,0.3407190928288072,0.32734223983265887,0.353436133441023
bin,2000,REL,HC(flips=1),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3013074688022275,0.29032742933736966,0.3125210167938637,0.37583051839236725,0.360382264773621,0.3916119693484425,0.32286201280540544,0.3101302142024244,0.33545637501100867
bin,2000,REL,HC(flips=2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.33512387044074843,0.3152759104332306,0.3526041312655498,0.30635368198165613,0.2866698989085432,0.32669426499011006,0.3585224475775952,0.3513426278864665,0.3650215030490174
bin,2000,REL,RS_BIN,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.33463305873577837,0.314735709905388,0.3508776253252384,0.30757670009831495,0.28822450819539863,0.3270823514051698,0.35779024116590635,0.3501134869253187,0.364626635516515
bin,2000,REL,"SA(T0=1.0,alpha=0.995,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3013074688022275,0.29032742933736966,0.3125210167938637,0.37583051839236725,0.360382264773621,0.3916119693484425,0.32286201280540544,0.3101302142024244,0.33545637501100867
bin,2000,REL,"SA(T0=2.0,alpha=0.99,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3013074688022275,0.29032742933736966,0.3125210167938637,0.37583051839236725,0.360382264773621,0.3916119693484425,0.32286201280540544,0.3101302142024244,0.33545637501100867
bin,2000,REL,"SA(T0=2.0,alpha=0.995,flips=2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.34010037377828256,0.32461277267232364,0.3542206000332255,0.3021964647102092,0.2842811406067805,0.32152589812215465,0.35770316151150816,0.35008913298970823,0.3643172216056793
