instance_id,func,dim,budget,budget_tier,algo,seed,best,evals,meta_json
sphere_d5_i000,sphere,5,5000,1000xD,DE,0,9.703921766874587e-10,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,DE,1,7.479638545312592e-09,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,DE,2,9.501880598950971e-09,5000,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,GA,0,0.10154220171131384,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,GA,1,0.06236994037268381,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,GA,2,0.0562158798458154,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,ES_ML,0,1.2213570664817363e-18,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,ES_ML,1,2.9331303267999866e-19,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,ES_ML,2,9.907278431765911e-20,4970,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,GWO,0,0.10598009666739769,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,GWO,1,0.15777478019259583,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,GWO,2,0.16981457203324676,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,MFO,0,2.1544215997998815,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,MFO,1,3.53886752305967,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,MFO,2,3.746074754634241,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,WOA,0,0.1445022131026085,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,WOA,1,0.1726814269552708,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,WOA,2,0.18307988468184286,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,FA,0,0.33371798791003066,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,FA,1,0.1764660388167362,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,FA,2,0.3436403466670549,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,BA,0,0.09935839381564651,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,BA,1,0.06580499920418525,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,BA,2,0.08373942449553773,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,ALO,0,0.900620477920262,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,ALO,1,1.4016781468565676,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i000,sphere,5,5000,1000xD,ALO,2,2.3967572056039725,4980,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_STD,0,0.6874362064182213,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_STD,1,1.7934462570395433,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_STD,2,0.00028805355666654926,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_CONSTR,0,0.00014637831548596086,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_CONSTR,1,9.750976355688812e-05,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_CONSTR,2,0.0003368290006978409,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_RING,0,0.022437182157044912,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_RING,1,0.014141955561448883,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,PSO_RING,2,0.05148362176188773,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,DE,0,0.09167303738528484,1000,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,DE,1,0.022421842925296587,1000,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,DE,2,0.06663145609384094,1000,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,GA,0,0.4331921754504866,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,GA,1,0.1456042890407841,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,GA,2,0.3537500115090546,990,"{""shift"": true, ""rot"": true}"
sphere_d5_i001,sphere,5,1000,200xD,ES_ML,0,0.015544636217609748,970,"{""shift"": true, ""rot"": true}"
