instance_id,func,dim,dim_bin,budget_tier,algo,best_median
sphere_d5_i000,sphere,5,d<=5,200xD,PSO_STD,3.384021934515685
sphere_d5_i000,sphere,5,d<=5,200xD,PSO_CONSTR,0.000664362043563146
sphere_d5_i000,sphere,5,d<=5,200xD,PSO_RING,0.015295310817191633
sphere_d5_i000,sphere,5,d<=5,200xD,DE,0.0509823596948446
sphere_d5_i000,sphere,5,d<=5,200xD,GA,0.13493011904000998
sphere_d5_i000,sphere,5,d<=5,200xD,ES_ML,0.006208742278677802
sphere_d5_i000,sphere,5,d<=5,200xD,GWO,0.3789306521421139
sphere_d5_i000,sphere,5,d<=5,200xD,MFO,4.412641018900173
sphere_d5_i000,sphere,5,d<=5,200xD,WOA,0.23991806772432914
sphere_d5_i000,sphere,5,d<=5,200xD,FA,0.7646308714269319
sphere_d5_i000,sphere,5,d<=5,200xD,BA,0.2712252558369529
sphere_d5_i000,sphere,5,d<=5,200xD,ALO,3.266719999197542
sphere_d5_i000,sphere,5,d<=5,1000xD,PSO_STD,0.28967020649092057
sphere_d5_i000,sphere,5,d<=5,1000xD,PSO_CONSTR,8.29506628473025e-18
sphere_d5_i000,sphere,5,d<=5,1000xD,PSO_RING,1.0327727272314417e-10
sphere_d5_i000,sphere,5,d<=5,1000xD,DE,7.575019304200811e-09
sphere_d5_i000,sphere,5,d<=5,1000xD,GA,0.10144118406399133
sphere_d5_i000,sphere,5,d<=5,1000xD,ES_ML,1.0065170864705038e-16
sphere_d5_i000,sphere,5,d<=5,1000xD,GWO,0.3066871946740934
sphere_d5_i000,sphere,5,d<=5,1000xD,MFO,1.0736608654643902
sphere_d5_i000,sphere,5,d<=5,1000xD,WOA,0.10235078734239245
sphere_d5_i000,sphere,5,d<=5,1000xD,FA,0.5160730078466759
sphere_d5_i000,sphere,5,d<=5,1000xD,BA,0.06841051755014503
sphere_d5_i000,sphere,5,d<=5,1000xD,ALO,2.1045827421581222
sphere_d5_i001,sphere,5,d<=5,200xD,PSO_STD,0.0023582159792700863
sphere_d5_i001,sphere,5,d<=5,200xD,PSO_CONSTR,0.0006518773548358244
sphere_d5_i001,sphere,5,d<=5,200xD,PSO_RING,0.057883722512282104
sphere_d5_i001,sphere,5,d<=5,200xD,DE,0.134987131493749
sphere_d5_i001,sphere,5,d<=5,200xD,GA,0.29182973155390113
sphere_d5_i001,sphere,5,d<=5,200xD,ES_ML,0.00497609780665736
sphere_d5_i001,sphere,5,d<=5,200xD,GWO,0.4256298551606206
sphere_d5_i001,sphere,5,d<=5,200xD,MFO,2.3986943720394067
sphere_d5_i001,sphere,5,d<=5,200xD,WOA,0.18256349981176412
sphere_d5_i001,sphere,5,d<=5,200xD,FA,1.157587319318804
sphere_d5_i001,sphere,5,d<=5,200xD,BA,0.1596796301722591
sphere_d5_i001,sphere,5,d<=5,200xD,ALO,3.3822104945767846
sphere_d5_i001,sphere,5,d<=5,1000xD,PSO_STD,0.6868667981127433
sphere_d5_i001,sphere,5,d<=5,1000xD,PSO_CONSTR,1.863730360572615e-17
sphere_d5_i001,sphere,5,d<=5,1000xD,PSO_RING,1.4861351621860652e-10
sphere_d5_i001,sphere,5,d<=5,1000xD,DE,2.748933703368453e-09
sphere_d5_i001,sphere,5,d<=5,1000xD,GA,0.07871960307528524
sphere_d5_i001,sphere,5,d<=5,1000xD,ES_ML,8.509297082203036e-18
sphere_d5_i001,sphere,5,d<=5,1000xD,GWO,0.18300565606202948
sphere_d5_i001,sphere,5,d<=5,1000xD,MFO,1.8367918855162746
sphere_d5_i001,sphere,5,d<=5,1000xD,WOA,0.029208884142692893
sphere_d5_i001,sphere,5,d<=5,1000xD,FA,0.5778458997286834
sphere_d5_i001,sphere,5,d<=5,1000xD,BA,0.1748525536078015
sphere_d5_i001,sphere,5,d<=5,1000xD,ALO,1.2540578875800377
sphere_d5_i002,sphere,5,d<=5,200xD,PSO_STD,0.0028844612817394487
sphere_d5_i002,sphere,5,d<=5,200xD,PSO_CONSTR,0.0005039789830742892
sphere_d5_i002,sphere,5,d<=5,200xD,PSO_RING,0.09657577788849361
sphere_d5_i002,sphere,5,d<=5,200xD,DE,0.25398713798943545
