func,dim_bin,budget_tier,algo,win_count,n_instances_in_group
sphere,d<=10,200xD,PSO_STD,0,20
sphere,d<=10,200xD,PSO_CONSTR,7,20
sphere,d<=10,200xD,PSO_RING,0,20
sphere,d<=10,200xD,DE,0,20
sphere,d<=10,200xD,GA,0,20
sphere,d<=10,200xD,ES_ML,12,20
sphere,d<=10,200xD,GWO,1,20
sphere,d<=10,200xD,MFO,0,20
sphere,d<=10,200xD,WOA,0,20
sphere,d<=10,200xD,FA,0,20
sphere,d<=10,200xD,BA,0,20
sphere,d<=10,200xD,ALO,0,20
sphere,d<=5,1000xD,PSO_STD,0,20
sphere,d<=5,1000xD,PSO_CONSTR,0,20
sphere,d<=5,1000xD,PSO_RING,0,20
sphere,d<=5,1000xD,DE,0,20
sphere,d<=5,1000xD,GA,0,20
sphere,d<=5,1000xD,ES_ML,20,20
sphere,d<=5,1000xD,GWO,0,20
sphere,d<=5,1000xD,MFO,0,20
sphere,d<=5,1000xD,WOA,0,20
sphere,d<=5,1000xD,FA,0,20
sphere,d<=5,1000xD,BA,0,20
sphere,d<=5,1000xD,ALO,0,20
sphere,d<=5,200xD,PSO_STD,0,20
sphere,d<=5,200xD,PSO_CONSTR,14,20
sphere,d<=5,200xD,PSO_RING,0,20
sphere,d<=5,200xD,DE,0,20
sphere,d<=5,200xD,GA,0,20
sphere,d<=5,200xD,ES_ML,4,20
sphere,d<=5,200xD,GWO,2,20
sphere,d<=5,200xD,MFO,0,20
sphere,d<=5,200xD,WOA,0,20
sphere,d<=5,200xD,FA,0,20
sphere,d<=5,200xD,BA,0,20
sphere,d<=5,200xD,ALO,0,20
