algo,target,auc,gain,slope_early,slope_late,p_first,p_last
ALO,easy,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
BA,easy,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
FA,easy,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
GWO,easy,0.08422619047619044,0.004166666666666666,0.0,1.6666666666666705e-05,0.0833333333333333,0.08749999999999997
MFO,easy,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
WOA,easy,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
ALO,med,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
BA,med,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
FA,med,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
GWO,med,0.10624999999999996,0.05,3.333333333333334e-05,6.249999999999999e-05,0.0833333333333333,0.1333333333333333
MFO,med,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
WOA,med,0.08345238095238092,0.0008333333333333387,0.0,4.166666666666693e-06,0.0833333333333333,0.08416666666666664
ALO,hard,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
BA,hard,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
FA,hard,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
GWO,hard,0.1813095238095238,0.13083333333333336,0.00029583333333333344,0.00010833333333333334,0.10249999999999997,0.2333333333333333
MFO,hard,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333
WOA,hard,0.09172619047619045,0.03583333333333334,0.0,0.00013333333333333337,0.0833333333333333,0.11916666666666664
