,ALO,BA,FA,GWO,MFO,WOA
ALO,0.0,0.0,0.0,3.4641016151377544,0.0,2.8284271247461903
BA,0.0,0.0,0.0,3.4641016151377544,0.0,2.8284271247461903
FA,0.0,0.0,0.0,3.4641016151377544,0.0,2.8284271247461903
GWO,3.4641016151377544,3.4641016151377544,3.4641016151377544,0.0,3.4641016151377544,2.8016532123747764
MFO,0.0,0.0,0.0,3.4641016151377544,0.0,2.8284271247461903
WOA,2.8284271247461903,2.8284271247461903,2.8284271247461903,2.8016532123747764,2.8284271247461903,0.0
