algo,rung,score,seconds,params_json,pop,w,c1,c2
PSO_GBEST,rung1,0.3726763987276663,0.6151611804962158,"{""c1"": 1.9762947347569, ""c2"": 0.7004754328287017, ""pop"": 39, ""w"": 0.885531974972233}",39,0.885531974972233,1.9762947347569,0.7004754328287017
PSO_GBEST,rung1,0.15456286238268635,0.5970151424407959,"{""c1"": 0.9526366657344509, ""c2"": 2.336584073935655, ""pop"": 64, ""w"": 0.666276296734754}",64,0.666276296734754,0.9526366657344509,2.336584073935655
PSO_GBEST,rung1,0.2700658589025507,0.6030023097991943,"{""c1"": 2.4071772646688965, ""c2"": 1.8524050312872624, ""pop"": 70, ""w"": 0.32374441133806575}",70,0.32374441133806575,2.4071772646688965,1.8524050312872624
PSO_GBEST,rung1,0.8250372654722722,0.6466217041015625,"{""c1"": 0.5564175365636896, ""c2"": 1.38610206367307, ""pop"": 32, ""w"": 0.4511043755960752}",32,0.4511043755960752,0.5564175365636896,1.38610206367307
PSO_GBEST,rung1,0.2757553859392077,0.6416795253753662,"{""c1"": 1.1662651703842524, ""c2"": 1.6704894245162287, ""pop"": 31, ""w"": 0.8564636090550506}",31,0.8564636090550506,1.1662651703842524,1.6704894245162287
PSO_GBEST,rung1,0.3484593187165394,0.6041464805603027,"{""c1"": 0.8410230110878552, ""c2"": 0.9779703107054447, ""pop"": 52, ""w"": 0.8269348713496931}",52,0.8269348713496931,0.8410230110878552,0.9779703107054447
PSO_GBEST,rung1,0.46185153123111916,0.6201694011688232,"{""c1"": 1.6654776423830275, ""c2"": 1.912923842590098, ""pop"": 47, ""w"": 0.402115047799542}",47,0.402115047799542,1.6654776423830275,1.912923842590098
PSO_GBEST,rung1,0.13051594418448453,0.5687844753265381,"{""c1"": 1.977637571537017, ""c2"": 2.3347137066568555, ""pop"": 79, ""w"": 0.8886374112515019}",79,0.8886374112515019,1.977637571537017,2.3347137066568555
PSO_GBEST,rung1,0.38042785576793514,0.6420018672943115,"{""c1"": 1.7702172603514912, ""c2"": 1.310692378207559, ""pop"": 32, ""w"": 0.7541098004977438}",32,0.7541098004977438,1.7702172603514912,1.310692378207559
PSO_GBEST,rung1,0.305508389356848,0.6538786888122559,"{""c1"": 2.0164621825822593, ""c2"": 1.809586951587419, ""pop"": 30, ""w"": 0.7640955701792238}",30,0.7640955701792238,2.0164621825822593,1.809586951587419
PSO_GBEST,rung1,0.3350635960155122,0.6073241233825684,"{""c1"": 1.728814582236722, ""c2"": 1.753238193342393, ""pop"": 66, ""w"": 0.5300306423013171}",66,0.5300306423013171,1.728814582236722,1.753238193342393
PSO_GBEST,rung1,0.4470461721985545,0.6459882259368896,"{""c1"": 0.6102759451223665, ""c2"": 1.9050461401175691, ""pop"": 28, ""w"": 0.5122728082249464}",28,0.5122728082249464,0.6102759451223665,1.9050461401175691
PSO_GBEST,rung1,0.5972295885182107,0.6105191707611084,"{""c1"": 2.3454728606116224, ""c2"": 1.184452045957881, ""pop"": 56, ""w"": 0.350146158423856}",56,0.350146158423856,2.3454728606116224,1.184452045957881
PSO_GBEST,rung1,0.16906306546604327,0.6201374530792236,"{""c1"": 1.5498072083920094, ""c2"": 2.253087971473651, ""pop"": 49, ""w"": 0.8899379448764435}",49,0.8899379448764435,1.5498072083920094,2.253087971473651
PSO_GBEST,rung1,0.4205126174145676,0.5761058330535889,"{""c1"": 2.1038373079833494, ""c2"": 1.3871888097490985, ""pop"": 67, ""w"": 0.4211660850381976}",67,0.4211660850381976,2.1038373079833494,1.3871888097490985
PSO_GBEST,rung1,0.39142224921072805,0.6280219554901123,"{""c1"": 2.196851062637956, ""c2"": 1.283108037782519, ""pop"": 45, ""w"": 0.6014239321779473}",45,0.6014239321779473,2.196851062637956,1.283108037782519
PSO_GBEST,rung1,0.5924731848032767,0.6005403995513916,"{""c1"": 2.12933231969984, ""c2"": 0.6506933083036306, ""pop"": 73, ""w"": 0.5271032146174714}",73,0.5271032146174714,2.12933231969984,0.6506933083036306
PSO_GBEST,rung1,0.528851367544395,0.6020603179931641,"{""c1"": 1.4799055216946928, ""c2"": 0.7915361531095977, ""pop"": 74, ""w"": 0.4256545965848208}",74,0.4256545965848208,1.4799055216946928,0.7915361531095977
PSO_GBEST,rung1,0.21663812726295112,0.6448132991790771,"{""c1"": 1.138362601558225, ""c2"": 2.269874018127053, ""pop"": 33, ""w"": 0.7516983850046497}",33,0.7516983850046497,1.138362601558225,2.269874018127053
PSO_GBEST,rung1,0.3897410783966443,0.5929155349731445,"{""c1"": 2.027607620283835, ""c2"": 1.0433251004893942, ""pop"": 61, ""w"": 0.5632382675140286}",61,0.5632382675140286,2.027607620283835,1.0433251004893942
PSO_GBEST,rung1,0.5446171964620009,0.6370351314544678,"{""c1"": 1.8090362606846224, ""c2"": 0.6215845808872851, ""pop"": 35, ""w"": 0.4534113419984722}",35,0.4534113419984722,1.8090362606846224,0.6215845808872851
PSO_GBEST,rung1,0.2042436914597774,0.5840258598327637,"{""c1"": 1.3200975923485674, ""c2"": 1.882988202472533, ""pop"": 80, ""w"": 0.806355420678021}",80,0.806355420678021,1.3200975923485674,1.882988202472533
PSO_GBEST,rung1,0.38915684740118817,0.6426897048950195,"{""c1"": 1.0826099594805316, ""c2"": 2.001093023209073, ""pop"": 34, ""w"": 0.5669330028989223}",34,0.5669330028989223,1.0826099594805316,2.001093023209073
PSO_GBEST,rung1,0.5477269719679352,0.6108782291412354,"{""c1"": 1.8461122448032028, ""c2"": 0.7639604214094096, ""pop"": 71, ""w"": 0.42177926872638466}",71,0.42177926872638466,1.8461122448032028,0.7639604214094096
PSO_GBEST,rung1,0.35153460512544293,0.608748197555542,"{""c1"": 2.483936129882278, ""c2"": 0.8566451754742601, ""pop"": 48, ""w"": 0.8342469776066819}",48,0.8342469776066819,2.483936129882278,0.8566451754742601
PSO_GBEST,rung1,0.495178535275438,0.6219110488891602,"{""c1"": 0.7442551413050549, ""c2"": 1.1091159106577495, ""pop"": 58, ""w"": 0.3038271347736463}",58,0.3038271347736463,0.7442551413050549,1.1091159106577495
PSO_GBEST,rung1,0.27787064581639803,0.6196017265319824,"{""c1"": 1.5546742442471178, ""c2"": 1.6192510083389902, ""pop"": 71, ""w"": 0.7057002506353798}",71,0.7057002506353798,1.5546742442471178,1.6192510083389902
PSO_GBEST,rung1,0.36935840688813,0.6519529819488525,"{""c1"": 0.8957432446865117, ""c2"": 2.3582697574128875, ""pop"": 30, ""w"": 0.43291982325959755}",30,0.43291982325959755,0.8957432446865117,2.3582697574128875
PSO_GBEST,rung1,0.7152383863370108,0.6813685894012451,"{""c1"": 0.8132569041411328, ""c2"": 1.2624508032134374, ""pop"": 21, ""w"": 0.4397962083016703}",21,0.4397962083016703,0.8132569041411328,1.2624508032134374
PSO_GBEST,rung1,0.33601831202269034,0.6220951080322266,"{""c1"": 2.1181614479012016, ""c2"": 0.8009773177424049, ""pop"": 58, ""w"": 0.8685872952537017}",58,0.8685872952537017,2.1181614479012016,0.8009773177424049
PSO_GBEST,rung1,0.32591357953632266,0.6676661968231201,"{""c1"": 1.3666975311913934, ""c2"": 1.5898325921886722, ""pop"": 29, ""w"": 0.8082295047007122}",29,0.8082295047007122,1.3666975311913934,1.5898325921886722
PSO_GBEST,rung1,0.48309776960284356,0.6107964515686035,"{""c1"": 0.8614001750894955, ""c2"": 0.6686855729521415, ""pop"": 74, ""w"": 0.5420081409087956}",74,0.5420081409087956,0.8614001750894955,0.6686855729521415
PSO_GBEST,rung1,0.1739255964805434,0.579617977142334,"{""c1"": 1.17017274838208, ""c2"": 2.05247336277227, ""pop"": 67, ""w"": 0.8481643821120455}",67,0.8481643821120455,1.17017274838208,2.05247336277227
PSO_GBEST,rung1,0.47450379636074624,0.6299407482147217,"{""c1"": 2.397116905651858, ""c2"": 0.5757343282790464, ""pop"": 34, ""w"": 0.3966640480486513}",34,0.3966640480486513,2.397116905651858,0.5757343282790464
PSO_GBEST,rung1,0.37341117842694216,0.5994813442230225,"{""c1"": 1.0938418404438124, ""c2"": 1.1178630338043563, ""pop"": 68, ""w"": 0.7132127439959707}",68,0.7132127439959707,1.0938418404438124,1.1178630338043563
PSO_GBEST,rung1,0.17673137438340497,0.5702874660491943,"{""c1"": 0.6127008154223068, ""c2"": 2.177424629578332, ""pop"": 80, ""w"": 0.6744580997825984}",80,0.6744580997825984,0.6127008154223068,2.177424629578332
PSO_GBEST,rung1,0.471533409026598,0.6082165241241455,"{""c1"": 0.7238470970256297, ""c2"": 0.7032282809317254, ""pop"": 54, ""w"": 0.40772070425892515}",54,0.40772070425892515,0.7238470970256297,0.7032282809317254
PSO_GBEST,rung1,0.29035772918263164,0.5934631824493408,"{""c1"": 0.9473396061094495, ""c2"": 2.069916592661642, ""pop"": 65, ""w"": 0.531012657259142}",65,0.531012657259142,0.9473396061094495,2.069916592661642
PSO_GBEST,rung1,0.39320646812890864,0.5866923332214355,"{""c1"": 0.9397838765323707, ""c2"": 0.524710337515587, ""pop"": 72, ""w"": 0.7975621168404046}",72,0.7975621168404046,0.9397838765323707,0.524710337515587
PSO_GBEST,rung1,0.17575847713313825,0.5951061248779297,"{""c1"": 0.9634658916175802, ""c2"": 2.250411378751109, ""pop"": 61, ""w"": 0.592894239125051}",61,0.592894239125051,0.9634658916175802,2.250411378751109
PSO_GBEST,rung1,0.5011343339910466,0.6081416606903076,"{""c1"": 1.7053187337214837, ""c2"": 0.6399785566923906, ""pop"": 71, ""w"": 0.5032018259988434}",71,0.5032018259988434,1.7053187337214837,0.6399785566923906
PSO_GBEST,rung1,0.30611684446217285,0.5840435028076172,"{""c1"": 2.0954523096002298, ""c2"": 1.5208554836685753, ""pop"": 63, ""w"": 0.4781624991750003}",63,0.4781624991750003,2.0954523096002298,1.5208554836685753
PSO_GBEST,rung1,0.2671375759650832,0.5552675724029541,"{""c1"": 2.2205607580988937, ""c2"": 1.2752543712464872, ""pop"": 77, ""w"": 0.7037101777902368}",77,0.7037101777902368,2.2205607580988937,1.2752543712464872
PSO_GBEST,rung1,0.42060732526921735,0.5578076839447021,"{""c1"": 1.0992487336006007, ""c2"": 1.1662848289741858, ""pop"": 77, ""w"": 0.4476228262744454}",77,0.4476228262744454,1.0992487336006007,1.1662848289741858
PSO_GBEST,rung1,0.3377502896707146,0.598139762878418,"{""c1"": 1.188957383726408, ""c2"": 1.0839896008852614, ""pop"": 51, ""w"": 0.7771609675806679}",51,0.7771609675806679,1.188957383726408,1.0839896008852614
PSO_GBEST,rung1,0.8955802210617355,0.6571321487426758,"{""c1"": 2.0090965423958833, ""c2"": 0.5312973985826375, ""pop"": 29, ""w"": 0.6421102936284047}",29,0.6421102936284047,2.0090965423958833,0.5312973985826375
PSO_GBEST,rung1,0.27771586303914775,0.5868258476257324,"{""c1"": 1.0281951211371811, ""c2"": 1.57342269638026, ""pop"": 72, ""w"": 0.68587309044016}",72,0.68587309044016,1.0281951211371811,1.57342269638026
PSO_GBEST,rung1,0.2505380068776856,0.5681164264678955,"{""c1"": 1.1028385465000492, ""c2"": 1.7634155526018174, ""pop"": 80, ""w"": 0.5725330939046087}",80,0.5725330939046087,1.1028385465000492,1.7634155526018174
PSO_GBEST,rung1,0.33768960151536837,0.6176748275756836,"{""c1"": 0.903079004397443, ""c2"": 1.8888951057143444, ""pop"": 44, ""w"": 0.5554331648037774}",44,0.5554331648037774,0.903079004397443,1.8888951057143444
PSO_GBEST,rung1,0.21860342967246776,0.659423828125,"{""c1"": 2.3930441970142713, ""c2"": 2.383907344352746, ""pop"": 24, ""w"": 0.45000155939845676}",24,0.45000155939845676,2.3930441970142713,2.383907344352746
PSO_GBEST,rung1,0.3566492991652563,0.5972275733947754,"{""c1"": 0.7290852052338319, ""c2"": 1.581325180763223, ""pop"": 62, ""w"": 0.5958573672546739}",62,0.5958573672546739,0.7290852052338319,1.581325180763223
PSO_GBEST,rung1,0.7600670008107386,0.6830484867095947,"{""c1"": 1.6190261275250404, ""c2"": 0.6360796811997442, ""pop"": 21, ""w"": 0.8027685037171381}",21,0.8027685037171381,1.6190261275250404,0.6360796811997442
PSO_GBEST,rung1,0.4820103384342296,0.602083683013916,"{""c1"": 0.6582387516552783, ""c2"": 1.1417952377346081, ""pop"": 57, ""w"": 0.6352545496205289}",57,0.6352545496205289,0.6582387516552783,1.1417952377346081
PSO_GBEST,rung1,0.2576022020703488,0.5916488170623779,"{""c1"": 2.1546650741273066, ""c2"": 1.7016630042310947, ""pop"": 72, ""w"": 0.5939194244371764}",72,0.5939194244371764,2.1546650741273066,1.7016630042310947
PSO_GBEST,rung1,0.4630856239010329,0.5863428115844727,"{""c1"": 1.7510308951396851, ""c2"": 0.6259858406429792, ""pop"": 68, ""w"": 0.6076144202631301}",68,0.6076144202631301,1.7510308951396851,0.6259858406429792
PSO_GBEST,rung1,0.29917299241787876,0.6234257221221924,"{""c1"": 1.491374924477711, ""c2"": 2.0232362942313635, ""pop"": 45, ""w"": 0.6449382944008404}",45,0.6449382944008404,1.491374924477711,2.0232362942313635
PSO_GBEST,rung1,0.5814798777699067,0.6191790103912354,"{""c1"": 1.8432012928028172, ""c2"": 0.8607363984767924, ""pop"": 48, ""w"": 0.3541768823272473}",48,0.3541768823272473,1.8432012928028172,0.8607363984767924
PSO_GBEST,rung1,0.5172806918571142,0.5939197540283203,"{""c1"": 1.3543015049355502, ""c2"": 0.8459554473506128, ""pop"": 62, ""w"": 0.4301861020632942}",62,0.4301861020632942,1.3543015049355502,0.8459554473506128
PSO_GBEST,rung1,0.3487303242439194,0.5547590255737305,"{""c1"": 1.3407953398283259, ""c2"": 0.6672978949292734, ""pop"": 77, ""w"": 0.7800424656082008}",77,0.7800424656082008,1.3407953398283259,0.6672978949292734
PSO_GBEST,rung1,0.4741668748527891,0.5916411876678467,"{""c1"": 1.1577878467097475, ""c2"": 0.5975301118098171, ""pop"": 53, ""w"": 0.3943042696868503}",53,0.3943042696868503,1.1577878467097475,0.5975301118098171
PSO_GBEST,rung2,0.4625775584589321,4.493466377258301,"{""c1"": 2.0090965423958833, ""c2"": 0.5312973985826375, ""pop"": 29, ""w"": 0.6421102936284047}",29,0.6421102936284047,2.0090965423958833,0.5312973985826375
PSO_GBEST,rung2,0.3119109209499993,4.436501502990723,"{""c1"": 0.5564175365636896, ""c2"": 1.38610206367307, ""pop"": 32, ""w"": 0.4511043755960752}",32,0.4511043755960752,0.5564175365636896,1.38610206367307
PSO_GBEST,rung2,0.3919015205139032,4.651116132736206,"{""c1"": 1.6190261275250404, ""c2"": 0.6360796811997442, ""pop"": 21, ""w"": 0.8027685037171381}",21,0.8027685037171381,1.6190261275250404,0.6360796811997442
PSO_GBEST,rung2,0.2795552806884273,4.647050142288208,"{""c1"": 0.8132569041411328, ""c2"": 1.2624508032134374, ""pop"": 21, ""w"": 0.4397962083016703}",21,0.4397962083016703,0.8132569041411328,1.2624508032134374
PSO_GBEST,rung2,0.2241750965947816,4.124615669250488,"{""c1"": 2.3454728606116224, ""c2"": 1.184452045957881, ""pop"": 56, ""w"": 0.350146158423856}",56,0.350146158423856,2.3454728606116224,1.184452045957881
PSO_GBEST,rung2,0.1475813494582925,3.979952812194824,"{""c1"": 2.12933231969984, ""c2"": 0.6506933083036306, ""pop"": 73, ""w"": 0.5271032146174714}",73,0.5271032146174714,2.12933231969984,0.6506933083036306
PSO_GBEST,rung2,0.25547928125572716,4.201016426086426,"{""c1"": 1.8432012928028172, ""c2"": 0.8607363984767924, ""pop"": 48, ""w"": 0.3541768823272473}",48,0.3541768823272473,1.8432012928028172,0.8607363984767924
PSO_GBEST,rung2,0.1955917501896221,4.212223529815674,"{""c1"": 1.8461122448032028, ""c2"": 0.7639604214094096, ""pop"": 71, ""w"": 0.42177926872638466}",71,0.42177926872638466,1.8461122448032028,0.7639604214094096
PSO_GBEST,rung2,0.22730629752198095,4.34089207649231,"{""c1"": 1.8090362606846224, ""c2"": 0.6215845808872851, ""pop"": 35, ""w"": 0.4534113419984722}",35,0.4534113419984722,1.8090362606846224,0.6215845808872851
PSO_GBEST,rung2,0.15899336097793113,4.016620635986328,"{""c1"": 1.4799055216946928, ""c2"": 0.7915361531095977, ""pop"": 74, ""w"": 0.4256545965848208}",74,0.4256545965848208,1.4799055216946928,0.7915361531095977
PSO_GBEST,rung2,0.19715861749938351,4.106055736541748,"{""c1"": 1.3543015049355502, ""c2"": 0.8459554473506128, ""pop"": 62, ""w"": 0.4301861020632942}",62,0.4301861020632942,1.3543015049355502,0.8459554473506128
PSO_GBEST,rung2,0.1544375108361559,4.213427543640137,"{""c1"": 1.7053187337214837, ""c2"": 0.6399785566923906, ""pop"": 71, ""w"": 0.5032018259988434}",71,0.5032018259988434,1.7053187337214837,0.6399785566923906
PSO_GBEST,rung2,0.1500360795290243,4.1830527782440186,"{""c1"": 0.7442551413050549, ""c2"": 1.1091159106577495, ""pop"": 58, ""w"": 0.3038271347736463}",58,0.3038271347736463,0.7442551413050549,1.1091159106577495
PSO_GBEST,rung2,0.12847479755601882,4.038560152053833,"{""c1"": 0.8614001750894955, ""c2"": 0.6686855729521415, ""pop"": 74, ""w"": 0.5420081409087956}",74,0.5420081409087956,0.8614001750894955,0.6686855729521415
PSO_GBEST,rung2,0.09769553561748662,4.17564845085144,"{""c1"": 0.6582387516552783, ""c2"": 1.1417952377346081, ""pop"": 57, ""w"": 0.6352545496205289}",57,0.6352545496205289,0.6582387516552783,1.1417952377346081
PSO_GBEST,rung2,0.11574546253235912,4.349300861358643,"{""c1"": 2.397116905651858, ""c2"": 0.5757343282790464, ""pop"": 34, ""w"": 0.3966640480486513}",34,0.3966640480486513,2.397116905651858,0.5757343282790464
PSO_GBEST,rung2,0.13761789433773602,4.153922080993652,"{""c1"": 1.1577878467097475, ""c2"": 0.5975301118098171, ""pop"": 53, ""w"": 0.3943042696868503}",53,0.3943042696868503,1.1577878467097475,0.5975301118098171
