,ALO,BA,ES_1P1,FA,GWO,MFO,PSO_GBEST,WOA
ALO,0.0,1.511437745212353,6.68314882788388,1.631759696808244,7.114112378661743,4.377285087205296,6.4193861949539475,5.699529192954112
BA,1.511437745212353,0.0,5.492142838343713,0.7492223476859347,5.884363432325861,3.077038874515622,5.088673052808051,4.415862982578396
ES_1P1,6.68314882788388,5.492142838343713,0.0,5.172747147000212,0.5283659064012114,2.5123456311109154,1.197165876740686,1.3432284568071136
FA,1.631759696808244,0.7492223476859347,5.172747147000212,0.0,5.579565848589078,2.8022800028123522,4.843405212506944,4.124981926091804
GWO,7.114112378661743,5.884363432325861,0.5283659064012114,5.579565848589078,0.0,2.8538636952467478,1.1621208355937127,1.573768196660248
MFO,4.377285087205296,3.077038874515622,2.5123456311109154,2.8022800028123522,2.8538636952467478,0.0,2.0527828639205126,1.3448292402587956
PSO_GBEST,6.4193861949539475,5.088673052808051,1.197165876740686,4.843405212506944,1.1621208355937127,2.0527828639205126,0.0,0.7870460981106456
WOA,5.699529192954112,4.415862982578396,1.3432284568071136,4.124981926091804,1.573768196660248,1.3448292402587956,0.7870460981106456,0.0
