domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,3.0,ALO,2000.0,easy,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,7.320323926171655,7.064195568098853,5.8432721951041735,9.64258682941822
cont,Ackley,3.0,ALO,2000.0,hard,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,7.320323926171655,7.064195568098853,5.8432721951041735,9.64258682941822
cont,Ackley,3.0,ALO,2000.0,med,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,7.320323926171655,7.064195568098853,5.8432721951041735,9.64258682941822
cont,Ackley,3.0,ALO,5000.0,easy,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.780900262806978,6.790605428487835,5.480900562449463,8.345635996786985
cont,Ackley,3.0,ALO,5000.0,hard,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.780900262806978,6.790605428487835,5.480900562449463,8.345635996786985
cont,Ackley,3.0,ALO,5000.0,med,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.780900262806978,6.790605428487835,5.480900562449463,8.345635996786985
cont,Ackley,3.0,ALO,8000.0,easy,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.722172784265154,6.60677497342053,4.579607400586326,8.666831128930099
cont,Ackley,3.0,ALO,8000.0,hard,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.722172784265154,6.60677497342053,4.579607400586326,8.666831128930099
cont,Ackley,3.0,ALO,8000.0,med,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.722172784265154,6.60677497342053,4.579607400586326,8.666831128930099
cont,Ackley,3.0,ALO,10000.0,easy,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.437419533301564,6.420953617287831,4.3006796637204765,7.999176778872167
cont,Ackley,3.0,ALO,10000.0,hard,0.0,30.0,0.03125,0.0016532542666409576,0.09211405994732372,6.437419533301564,6.420953617287831,4.3006796637204765,7.999176778872167
