domain,problem,instance_id,lambda,algo_variant,budget,rep,seed,evals,best
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,4,940593958000000,1980,0.00038659221153528576
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,5,940921639000000,1980,0.272876400745476
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,6,941249320000000,1980,0.36220049916654107
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,7,941577001000000,1980,0.0006119072876823721
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,8,941904682000000,1980,0.00043553883405565344
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,2000,9,942232363000000,1980,0.2570041164395349
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,0,941249317000000,4980,6.748157079843777e-10
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,1,941576998000000,4980,1.7205697782959246e-09
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,2,941904679000000,4980,1.9761088465387613e-09
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,3,942232360000000,4980,2.507939220730442e-09
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,4,942560041000000,4980,6.522591621636695e-10
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,5,942887722000000,4980,2.866048146556374e-10
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,6,943215403000000,4980,2.412400644214994e-09
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,7,943543084000000,4980,7.021115324188274e-09
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,8,943870765000000,4980,8.247606377492185e-10
cont,Interp_Sphere_Rastrigin_lam0.00,0,0.0,PSO_GBEST,5000,9,944198446000000,4980,6.866872311646598e-10
