instance_id,problem,domain,budget,target,target_name,algo_variant,algo_base,successes,trials,succ_rate,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best,mean_auc_raw,median_auc_raw,mean_auc_log,median_auc_log,mean_wall_ms
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.003974941185342944,0.20754697303749703,7805.916666666667,7794.5,7682.0,7984.0,7785.527777777777,7789.5,8.95995807240731,8.960531900449677,3.9166666666666665
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.003961385999218908,0.20640778131926424,7805.916666666667,7794.5,7682.0,7984.0,7785.527777777777,7789.5,8.95995807240731,8.960531900449677,3.9166666666666665
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"GA(pop=100,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.003869209855814821,0.20636850320859276,7805.916666666667,7794.5,7682.0,7984.0,7785.527777777777,7789.5,8.95995807240731,8.960531900449677,3.9166666666666665
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.003806773633177087,0.2033736793690829,7817.416666666667,7799.0,7742.0,7990.0,7747.916666666667,7749.833333333334,8.955125456135447,8.95540382125002,4.0
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.00404926620160802,0.20585606659535707,7817.416666666667,7799.0,7742.0,7990.0,7747.916666666667,7749.833333333334,8.955125456135447,8.95540382125002,4.0
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"GA(pop=50,pc=0.9,pm=0.02)",GA,0,12,0.0,0.07142857142857142,0.004025262726781345,0.2059125799114968,7817.416666666667,7799.0,7742.0,7990.0,7747.916666666667,7749.833333333334,8.955125456135447,8.95540382125002,4.0
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,12,0.0,0.07142857142857142,0.003926747702218466,0.20743590768501027,7770.166666666667,7765.0,7707.0,7847.0,7710.527777777778,7707.916666666666,8.950267466320328,8.949942094436999,4.083333333333333
bin::knapsack01::n200::i000,knapsack01,bin,300,8880.201204819277,hard,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,12,0.0,0.07142857142857142,0.0038454879506924005,0.20270057532099828,7770.166666666667,7765.0,7707.0,7847.0,7710.527777777778,7707.916666666666,8.950267466320328,8.949942094436999,4.083333333333333
bin::knapsack01::n200::i000,knapsack01,bin,300,8505.436144578314,med,"GA(pop=50,pc=0.9,pm=0.05)",GA,0,12,0.0,0.07142857142857142,0.003879415730544048,0.20524900638215052,7770.166666666667,7765.0,7707.0,7847.0,7710.527777777778,7707.916666666666,8.950267466320328,8.949942094436999,4.083333333333333
bin::knapsack01::n200::i000,knapsack01,bin,300,8055.718072289157,easy,HC(flips=1),HC,0,12,0.0,0.07142857142857142,0.004021351367893263,0.20689336390774213,7629.666666666667,7676.0,7350.0,7879.0,7529.810833333334,7515.17,8.922101625788555,8.924298341638353,5.166666666666667
