instance_id,domain,problem,budget,algo_variant,algo_base,rep,seed,best,auc_raw,auc_log,wall_ms,succ_easy,succ_med,succ_hard
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,3,907713895,169.0,136.36666666666667,4.901182502099295,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,4,865948037,166.0,139.58333333333334,4.931657138100031,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,5,60816030,160.0,131.87333333333333,4.8666457776167995,15,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,6,11494707,164.0,136.66666666666666,4.908776062905261,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,7,266896303,173.0,141.18666666666667,4.938392009711438,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,8,17790419,168.0,141.85,4.949353118426633,16,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,9,1440154963,173.0,139.84333333333333,4.923704379887712,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,10,1128755548,165.0,137.70333333333335,4.916929550013562,0,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=1.0,alpha=0.995,flips=1)",SA,11,1389828892,166.0,138.71666666666667,4.923789946785182,16,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,0,552547096,171.0,137.01333333333332,4.910900968064605,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,1,1321529463,177.0,145.83666666666667,4.970710168770631,0,1,1,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,2,1640795441,164.0,127.06,4.831554025940806,15,1,0,0
bin::onemax::n200::i000,bin,onemax,300,"SA(T0=2.0,alpha=0.99,flips=1)",SA,3,823941273,157.0,125.69,4.823360538239737,0,1,0,0
