instance_id,easy,med,hard,ub,b0
cont::sphere::d10::i007,29.7551072624185,17.002918435667716,8.501459217833858,,42.50729608916929
cont::sphere::d10::i008,42.0282778643646,24.016158779636914,12.008079389818457,,60.04039694909228
cont::sphere::d10::i009,45.713854901524066,26.122202800870895,13.061101400435447,,65.30550700217724
cont::sphere::d10::i010,40.19254894074992,22.96717082328567,11.483585411642835,,57.417927058214175
cont::sphere::d10::i011,14.547699628460038,8.312971216262879,4.156485608131439,,20.782428040657198
cont::sphere::d10::i012,34.58316880616044,19.761810746377392,9.880905373188696,,49.40452686594348
cont::sphere::d10::i013,20.16820874755551,11.524690712888864,5.762345356444432,,28.81172678222216
cont::sphere::d10::i014,30.195476525393392,17.25455801451051,8.627279007255256,,43.13639503627628
cont::sphere::d10::i015,43.753650320924876,25.00208589767136,12.50104294883568,,62.505214744178396
cont::sphere::d10::i016,35.783863725993136,20.447922129138938,10.223961064569469,,51.11980532284734
cont::sphere::d10::i017,24.20666399866533,13.83237942780876,6.91618971390438,,34.5809485695219
cont::sphere::d10::i018,29.57467285893356,16.899813062247752,8.449906531123876,,42.249532655619376
cont::sphere::d10::i019,30.796447472457512,17.597969984261436,8.798984992130718,,43.99492496065359
cont::rastrigin::d10::i000,79.65077916391408,45.51473095080806,22.75736547540403,,113.78682737702013
cont::rastrigin::d10::i001,119.38076977098585,68.21758272627764,34.10879136313882,,170.5439568156941
cont::rastrigin::d10::i002,104.05547522881778,59.460271559324454,29.730135779662227,,148.65067889831113
cont::rastrigin::d10::i003,88.55627937327627,50.603588213300725,25.301794106650362,,126.50897053325181
cont::rastrigin::d10::i004,91.93482492858335,52.5341856734762,26.2670928367381,,131.3354641836905
cont::rastrigin::d10::i005,98.00805087264793,56.00460049865597,28.002300249327984,,140.0115012466399
cont::rastrigin::d10::i006,101.47029557048499,57.98302604027714,28.99151302013857,,144.95756510069285
cont::rastrigin::d10::i007,92.48172743825353,52.84670139328773,26.423350696643865,,132.11675348321933
cont::rastrigin::d10::i008,100.43203753598833,57.38973573485048,28.69486786742524,,143.4743393371262
cont::rastrigin::d10::i009,103.81966755825937,59.32552431900535,29.662762159502677,,148.31381079751338
cont::rastrigin::d10::i010,77.43158456616014,44.24661975209151,22.123309876045756,,110.61654938022878
cont::rastrigin::d10::i011,76.44793077276091,43.6845318701491,21.84226593507455,,109.21132967537274
cont::rastrigin::d10::i012,118.13835265013415,67.50763008579095,33.753815042895475,,168.76907521447737
cont::rastrigin::d10::i013,98.34649880725135,56.197999318429346,28.098999659214673,,140.49499829607336
cont::rastrigin::d10::i014,104.2965202909117,59.59801159480669,29.799005797403346,,148.99502898701672
cont::rastrigin::d10::i015,114.1950351967587,65.25430582671926,32.62715291335963,,163.13576456679814
cont::rastrigin::d10::i016,96.12992205010661,54.93138402863235,27.465692014316176,,137.32846007158088
cont::rastrigin::d10::i017,103.14648462833611,58.94084835904921,29.470424179524606,,147.35212089762302
cont::rastrigin::d10::i018,108.24071107303999,61.85183489888,30.92591744944,,154.6295872472
cont::rastrigin::d10::i019,78.87169240939147,45.06953851965227,22.534769259826135,,112.67384629913067
