algo_u,algo_v,dist_mean,dist_p95
ALO,BA,2.575990243354175,2.686311511438722
ALO,ES_1P1,15.80610480323758,15.92255258227248
ALO,ES_MULAMBDA,4.493140855160844,4.58659279620937
ALO,FA,0.48969264890276215,0.5771933022703047
ALO,GWO,9.413172658884331,9.935566647326144
ALO,MFO,3.208468716312182,3.3107441075427024
ALO,PSO_GBEST,13.132132873556525,13.237856928956736
ALO,PSO_RING,12.081402175324063,12.181164132680362
ALO,WOA,9.801813254350083,9.988846386766843
BA,ES_1P1,14.701729426809619,14.817467490907113
BA,ES_MULAMBDA,2.2105592189182066,2.283760463563752
BA,FA,2.754900364630939,2.886226910800444
BA,GWO,8.490583343273727,8.932838731443379
BA,MFO,2.54126022774414,2.62317990595157
BA,PSO_GBEST,11.570353760917623,11.671042316850523
BA,PSO_RING,10.223372124217796,10.326919343924068
BA,WOA,8.177280280848024,8.354434661428792
ES_1P1,ES_MULAMBDA,14.148251318648091,14.252099977786086
ES_1P1,FA,15.772978085165814,15.877894197517673
ES_1P1,GWO,9.874605837176205,10.486099492257306
ES_1P1,MFO,14.186489163055787,14.272486174758248
ES_1P1,PSO_GBEST,8.868306519436919,9.020241605103008
ES_1P1,PSO_RING,10.968498184502113,11.06998227136414
ES_1P1,WOA,9.3462590558758,9.604946396563486
ES_MULAMBDA,FA,4.593433788397624,4.723425547268805
ES_MULAMBDA,GWO,8.00125216358703,8.42762873786216
ES_MULAMBDA,MFO,2.905469485033909,2.9790946545394714
ES_MULAMBDA,PSO_GBEST,10.77266503247314,10.859697813409998
ES_MULAMBDA,PSO_RING,9.351998102290864,9.44381571011195
ES_MULAMBDA,WOA,7.351624661825353,7.554013455491898
FA,GWO,9.303192331824112,9.855884709724071
FA,MFO,3.046107444770774,3.17873868116866
FA,PSO_GBEST,13.115194533861908,13.211339143684457
FA,PSO_RING,12.089532082672267,12.179961773997464
FA,WOA,9.754077934460012,9.958962441676864
GWO,MFO,7.3390123811646015,7.932213812037302
GWO,PSO_GBEST,9.374478164316514,9.791625848797212
GWO,PSO_RING,8.48595514259328,8.919047245926015
GWO,WOA,5.097670238031197,5.3908527583408015
MFO,PSO_GBEST,11.123273069151157,11.218190013930716
MFO,PSO_RING,10.011666407578348,10.128557441866791
MFO,WOA,7.452992895113523,7.711097027232731
PSO_GBEST,PSO_RING,5.54038177518114,5.63085458055304
PSO_GBEST,WOA,5.732128436564397,5.917886224878518
PSO_RING,WOA,4.377002020966681,4.641295352622833
