algo,rung,score,seconds,params_json,pop,fmax,A0,r0,local_step
BA,rung1,0.001573052380018758,1.3800349235534668,"{""A0"": 0.7647415609539432, ""fmax"": 3.309003537875087, ""local_step"": 0.0034676757169553457, ""pop"": 48, ""r0"": 0.5309250859645841}",48,3.309003537875087,0.7647415609539432,0.5309250859645841,0.0034676757169553457
BA,rung1,0.12249491247758187,1.4707906246185303,"{""A0"": 0.7434606420463051, ""fmax"": 0.7884759937552694, ""local_step"": 0.0010053352619175029, ""pop"": 48, ""r0"": 0.2620836885510369}",48,0.7884759937552694,0.7434606420463051,0.2620836885510369,0.0010053352619175029
BA,rung1,-0.1475174987290253,1.2132627964019775,"{""A0"": 0.3818630279414551, ""fmax"": 4.943660634515048, ""local_step"": 0.011134873016712288, ""pop"": 28, ""r0"": 0.9445234471674647}",28,4.943660634515048,0.3818630279414551,0.9445234471674647,0.011134873016712288
BA,rung1,-0.029923066308123192,1.4323484897613525,"{""A0"": 0.33777356160729904, ""fmax"": 3.2416130063333726, ""local_step"": 0.0003115452271742074, ""pop"": 76, ""r0"": 0.15013604006747855}",76,3.2416130063333726,0.33777356160729904,0.15013604006747855,0.0003115452271742074
BA,rung1,-0.030046810969426685,1.230452537536621,"{""A0"": 0.7385857333066845, ""fmax"": 2.661700947965, ""local_step"": 0.0029161693718040738, ""pop"": 51, ""r0"": 0.7240411424698769}",51,2.661700947965,0.7385857333066845,0.7240411424698769,0.0029161693718040738
BA,rung1,0.5920404701979788,1.3973157405853271,"{""A0"": 0.7970801488913232, ""fmax"": 0.6075779790108338, ""local_step"": 0.032983018693123714, ""pop"": 57, ""r0"": 0.4764712946973476}",57,0.6075779790108338,0.7970801488913232,0.4764712946973476,0.032983018693123714
BA,rung1,-0.10587327136331481,1.7632853984832764,"{""A0"": 0.844419022584834, ""fmax"": 4.705622321249535, ""local_step"": 1.2132146442152184e-05, ""pop"": 38, ""r0"": 0.9027714304362593}",38,4.705622321249535,0.844419022584834,0.9027714304362593,1.2132146442152184e-05
BA,rung1,-0.05920681757452051,1.570847988128662,"{""A0"": 0.6273513451282392, ""fmax"": 4.361785595236469, ""local_step"": 0.0002755672997996262, ""pop"": 49, ""r0"": 0.4748009774092249}",49,4.361785595236469,0.6273513451282392,0.4748009774092249,0.0002755672997996262
BA,rung1,0.005546575256784592,1.979137659072876,"{""A0"": 0.4119302783090397, ""fmax"": 2.766568975430963, ""local_step"": 0.0013251344772597924, ""pop"": 74, ""r0"": 0.2436879506720853}",74,2.766568975430963,0.4119302783090397,0.2436879506720853,0.0013251344772597924
BA,rung1,0.03738514629425538,1.7944889068603516,"{""A0"": 0.6463774640692685, ""fmax"": 1.4079038691645709, ""local_step"": 0.0001704318681675459, ""pop"": 60, ""r0"": 0.11112472169433785}",60,1.4079038691645709,0.6463774640692685,0.11112472169433785,0.0001704318681675459
