algo_variant,rank,neighbor,distance
"DE(pop=20,F=0.8,CR=0.9)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.3901027484371804
"DE(pop=20,F=0.8,CR=0.9)",2,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.5353098151890119
"DE(pop=40,F=0.8,CR=0.9)",1,"ES_ML(mu=10,lam=40,sigma=0.3)",0.011199046364982812
"DE(pop=40,F=0.8,CR=0.9)",2,"ES_ML(mu=20,lam=80,sigma=0.2)",0.011199046364982812
"ES_ML(mu=10,lam=40,sigma=0.3)",1,HC_CONT(sigma=0.2),-4.440892098500626e-16
"ES_ML(mu=10,lam=40,sigma=0.3)",2,RS_CONT,-4.440892098500626e-16
"ES_ML(mu=20,lam=80,sigma=0.2)",1,RS_CONT,-4.440892098500626e-16
"ES_ML(mu=20,lam=80,sigma=0.2)",2,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",-4.440892098500626e-16
HC_CONT(sigma=0.2),1,"ES_ML(mu=10,lam=40,sigma=0.3)",-4.440892098500626e-16
HC_CONT(sigma=0.2),2,RS_CONT,-4.440892098500626e-16
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",1,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.15617291348773454
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.17986924154837414
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",1,"DE(pop=40,F=0.8,CR=0.9)",0.39208235656240775
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",2,"ES_ML(mu=10,lam=40,sigma=0.3)",0.40175855847208153
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.17986924154837414
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.25247481400919325
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",1,"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.15617291348773454
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",2,"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.25247481400919325
RS_CONT,1,"ES_ML(mu=10,lam=40,sigma=0.3)",-4.440892098500626e-16
RS_CONT,2,"ES_ML(mu=20,lam=80,sigma=0.2)",-4.440892098500626e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1,"ES_ML(mu=10,lam=40,sigma=0.3)",-4.440892098500626e-16
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",2,"ES_ML(mu=20,lam=80,sigma=0.2)",-4.440892098500626e-16
