,"DE(pop=20,F=0.8,CR=0.9)","DE(pop=40,F=0.8,CR=0.9)","ES_ML(mu=10,lam=40,sigma=0.3)","ES_ML(mu=20,lam=80,sigma=0.2)",HC_CONT(sigma=0.2),"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)","PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)","PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",RS_CONT,"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)"
"DE(pop=20,F=0.8,CR=0.9)",0.0,1.0062203694465601,1.0062203694465601,1.0062203694465601,1.0062203694465601,0.3532519336658856,0.8073226712224884,0.9308460898702855,0.3342468712417571,1.0062203694465601,1.0062203694465601
"DE(pop=40,F=0.8,CR=0.9)",1.0062203694465601,0.0,-6.661338147750939e-16,-1.3322676295501878e-15,-1.3322676295501878e-15,1.5541886728952763,0.0637615226959487,1.949068038775236,0.46630015691671634,-1.3322676295501878e-15,-1.3322676295501878e-15
"ES_ML(mu=10,lam=40,sigma=0.3)",1.0062203694465601,-6.661338147750939e-16,0.0,-6.661338147750939e-16,-1.3322676295501878e-15,1.5541886728952763,0.0637615226959487,1.949068038775236,0.46630015691671634,-1.3322676295501878e-15,-1.3322676295501878e-15
"ES_ML(mu=20,lam=80,sigma=0.2)",1.0062203694465601,-1.3322676295501878e-15,-6.661338147750939e-16,0.0,-6.661338147750939e-16,1.5541886728952763,0.0637615226959487,1.949068038775236,0.46630015691671634,-1.3322676295501878e-15,-1.3322676295501878e-15
HC_CONT(sigma=0.2),1.0062203694465601,-1.3322676295501878e-15,-1.3322676295501878e-15,-6.661338147750939e-16,0.0,1.5541886728952765,0.0637615226959487,1.949068038775236,0.46630015691671634,-1.3322676295501878e-15,-1.3322676295501878e-15
"PSO_RING(p=20,ring,w=0.72,c1=1.49,c2=1.49)",0.3532519336658856,1.5541886728952763,1.5541886728952763,1.5541886728952763,1.5541886728952765,0.0,1.4352146050154344,0.49844755981982247,1.0138574517838082,1.5541886728952763,1.5541886728952763
"PSO_RING(p=40,ring,w=0.72,c1=1.49,c2=1.49)",0.8073226712224884,0.0637615226959487,0.0637615226959487,0.0637615226959487,0.0637615226959487,1.4352146050154344,0.0,1.8803305794314016,0.24011897132409088,0.0637615226959487,0.0637615226959487
"PSO_STD(p=20,w=0.72,c1=1.49,c2=1.49)",0.9308460898702855,1.949068038775236,1.949068038775236,1.949068038775236,1.949068038775236,0.49844755981982247,1.8803305794314016,0.0,1.478799334171274,1.949068038775236,1.949068038775236
"PSO_STD(p=40,w=0.72,c1=1.49,c2=1.49)",0.3342468712417571,0.46630015691671634,0.46630015691671634,0.46630015691671634,0.46630015691671634,1.0138574517838082,0.24011897132409088,1.478799334171274,0.0,0.46630015691671634,0.46630015691671634
RS_CONT,1.0062203694465601,-1.3322676295501878e-15,-1.3322676295501878e-15,-1.3322676295501878e-15,-1.3322676295501878e-15,1.5541886728952763,0.0637615226959487,1.949068038775236,0.46630015691671634,0.0,-1.3322676295501878e-15
"SA_CONT(sigma=0.3,T0=1.0,alpha=0.995)",1.0062203694465601,-1.3322676295501878e-15,-1.3322676295501878e-15,-1.3322676295501878e-15,-1.3322676295501878e-15,1.5541886728952763,0.0637615226959487,1.949068038775236,0.46630015691671634,-1.3322676295501878e-15,0.0
