,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)",TABU(tenure=12),TABU(tenure=7),"UMDA(pop=100,elite=0.2)","UMDA(pop=50,elite=0.2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.0,4.440892098500626e-16,4.440892098500626e-16,1.9882362118091392,0.026249120568441198,4.440892098500626e-16,1.9660251631242178,1.9720345846611043,4.440892098500626e-16,0.0091604487966086,0.033871950864035494,4.440892098500626e-16,1.8464954145102432
"GA(pop=50,pc=0.9,pm=0.02)",4.440892098500626e-16,0.0,2.220446049250313e-16,1.9882362118091392,0.026249120568441198,4.440892098500626e-16,1.9660251631242178,1.9720345846611043,4.440892098500626e-16,0.0091604487966086,0.033871950864035494,4.440892098500626e-16,1.8464954145102432
"GA(pop=50,pc=0.9,pm=0.05)",4.440892098500626e-16,2.220446049250313e-16,0.0,1.988236211809139,0.026249120568441198,4.440892098500626e-16,1.9660251631242178,1.9720345846611043,4.440892098500626e-16,0.0091604487966086,0.033871950864035494,4.440892098500626e-16,1.8464954145102432
HC(flips=1),1.9882362118091392,1.9882362118091392,1.988236211809139,0.0,1.9530455388968329,1.9882362118091392,0.024221895212639177,0.009271226160371793,1.9882362118091392,1.968318103800072,1.9611250923396004,1.9882362118091392,0.11179112647988032
HC(flips=2),0.026249120568441198,0.026249120568441198,0.026249120568441198,1.9530455388968329,0.0,0.026249120568441198,1.9349862563357858,1.939948706163006,0.026249120568441198,0.051712986837051944,0.06519957316644354,0.026249120568441198,1.785129192236141
RS_BIN,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9882362118091392,0.026249120568441198,0.0,1.9660251631242174,1.9720345846611043,4.440892098500626e-16,0.0091604487966086,0.033871950864035494,4.440892098500626e-16,1.8464954145102432
"SA(T0=1.0,alpha=0.995,flips=1)",1.9660251631242178,1.9660251631242178,1.9660251631242178,0.024221895212639177,1.9349862563357858,1.9660251631242174,0.0,0.013832904888115172,1.9660251631242178,1.9391390477474342,1.915817720192237,1.9660251631242178,0.08137723915117834
"SA(T0=2.0,alpha=0.99,flips=1)",1.9720345846611043,1.9720345846611043,1.9720345846611043,0.009271226160371793,1.939948706163006,1.9720345846611043,0.013832904888115172,0.0,1.9720345846611043,1.942039611609486,1.9243844781779043,1.9720345846611043,0.07642373705557548
"SA(T0=2.0,alpha=0.995,flips=2)",4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9882362118091392,0.026249120568441198,4.440892098500626e-16,1.9660251631242178,1.9720345846611043,0.0,0.009160448796608156,0.033871950864035494,4.440892098500626e-16,1.8464954145102432
TABU(tenure=12),0.0091604487966086,0.0091604487966086,0.0091604487966086,1.968318103800072,0.051712986837051944,0.0091604487966086,1.9391390477474342,1.942039611609486,0.009160448796608156,0.0,0.03683316549670379,0.0091604487966086,1.8036935955280606
TABU(tenure=7),0.033871950864035494,0.033871950864035494,0.033871950864035494,1.9611250923396004,0.06519957316644354,0.033871950864035494,1.915817720192237,1.9243844781779043,0.033871950864035494,0.03683316549670379,0.0,0.033871950864035494,1.7484222540784247
"UMDA(pop=100,elite=0.2)",4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9882362118091392,0.026249120568441198,4.440892098500626e-16,1.9660251631242178,1.9720345846611043,4.440892098500626e-16,0.0091604487966086,0.033871950864035494,0.0,1.8464954145102432
"UMDA(pop=50,elite=0.2)",1.8464954145102432,1.8464954145102432,1.8464954145102432,0.11179112647988032,1.785129192236141,1.8464954145102432,0.08137723915117834,0.07642373705557548,1.8464954145102432,1.8036935955280606,1.7484222540784247,1.8464954145102432,0.0
