algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.02)",-8.881784197001252e-16
"GA(pop=100,pc=0.9,pm=0.02)",2,"GA(pop=50,pc=0.9,pm=0.05)",-8.881784197001252e-16
"GA(pop=50,pc=0.9,pm=0.02)",1,"GA(pop=100,pc=0.9,pm=0.02)",-8.881784197001252e-16
"GA(pop=50,pc=0.9,pm=0.02)",2,RS_BIN,-8.881784197001252e-16
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=100,pc=0.9,pm=0.02)",-8.881784197001252e-16
"GA(pop=50,pc=0.9,pm=0.05)",2,RS_BIN,-8.881784197001252e-16
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",-6.661338147750939e-16
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",-6.661338147750939e-16
HC(flips=2),1,RS_BIN,0.00891788826027673
HC(flips=2),2,"GA(pop=100,pc=0.9,pm=0.02)",0.008917888260276952
RS_BIN,1,"GA(pop=100,pc=0.9,pm=0.02)",-8.881784197001252e-16
RS_BIN,2,"GA(pop=50,pc=0.9,pm=0.02)",-8.881784197001252e-16
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),-6.661338147750939e-16
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",-6.661338147750939e-16
"SA(T0=2.0,alpha=0.99,flips=1)",1,HC(flips=1),-6.661338147750939e-16
"SA(T0=2.0,alpha=0.99,flips=1)",2,"SA(T0=1.0,alpha=0.995,flips=1)",-6.661338147750939e-16
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.012312115106735688
"SA(T0=2.0,alpha=0.995,flips=2)",2,TABU(tenure=12),0.03667642767335888
TABU(tenure=12),1,"GA(pop=100,pc=0.9,pm=0.02)",-8.881784197001252e-16
TABU(tenure=12),2,"GA(pop=50,pc=0.9,pm=0.02)",-8.881784197001252e-16
TABU(tenure=7),1,"GA(pop=100,pc=0.9,pm=0.02)",-8.881784197001252e-16
TABU(tenure=7),2,"GA(pop=50,pc=0.9,pm=0.02)",-8.881784197001252e-16
"UMDA(pop=100,elite=0.2)",1,"UMDA(pop=50,elite=0.2)",0.024777353865271023
"UMDA(pop=100,elite=0.2)",2,HC(flips=1),0.3859393160362551
"UMDA(pop=50,elite=0.2)",1,"UMDA(pop=100,elite=0.2)",0.024777353865271023
"UMDA(pop=50,elite=0.2)",2,HC(flips=1),0.3510640860474836
