algo_variant,rank,neighbor,distance
"GA(pop=100,pc=0.9,pm=0.02)",1,"GA(pop=50,pc=0.9,pm=0.05)",-2.220446049250313e-16
"GA(pop=100,pc=0.9,pm=0.02)",2,RS_BIN,-2.220446049250313e-16
"GA(pop=50,pc=0.9,pm=0.02)",1,TABU(tenure=7),0.0100041426194738
"GA(pop=50,pc=0.9,pm=0.02)",2,TABU(tenure=12),0.027572267728566913
"GA(pop=50,pc=0.9,pm=0.05)",1,"GA(pop=100,pc=0.9,pm=0.02)",-2.220446049250313e-16
"GA(pop=50,pc=0.9,pm=0.05)",2,RS_BIN,-2.220446049250313e-16
HC(flips=1),1,"SA(T0=1.0,alpha=0.995,flips=1)",0.0016634332018635734
HC(flips=1),2,"SA(T0=2.0,alpha=0.99,flips=1)",0.002589888846348476
HC(flips=2),1,"SA(T0=2.0,alpha=0.995,flips=2)",0.012499829156070064
HC(flips=2),2,"GA(pop=50,pc=0.9,pm=0.02)",0.0464707435445435
RS_BIN,1,"GA(pop=100,pc=0.9,pm=0.02)",-2.220446049250313e-16
RS_BIN,2,"GA(pop=50,pc=0.9,pm=0.05)",-2.220446049250313e-16
"SA(T0=1.0,alpha=0.995,flips=1)",1,HC(flips=1),0.0016634332018635734
"SA(T0=1.0,alpha=0.995,flips=1)",2,"SA(T0=2.0,alpha=0.99,flips=1)",0.003353905141916358
"SA(T0=2.0,alpha=0.99,flips=1)",1,HC(flips=1),0.002589888846348476
"SA(T0=2.0,alpha=0.99,flips=1)",2,"SA(T0=1.0,alpha=0.995,flips=1)",0.003353905141916358
"SA(T0=2.0,alpha=0.995,flips=2)",1,HC(flips=2),0.012499829156070064
"SA(T0=2.0,alpha=0.995,flips=2)",2,"GA(pop=50,pc=0.9,pm=0.02)",0.03638665674530972
TABU(tenure=12),1,"GA(pop=100,pc=0.9,pm=0.02)",0.008033469135525717
TABU(tenure=12),2,"GA(pop=50,pc=0.9,pm=0.05)",0.008033469135525717
TABU(tenure=7),1,"GA(pop=50,pc=0.9,pm=0.02)",0.0100041426194738
TABU(tenure=7),2,TABU(tenure=12),0.011200615633884192
"UMDA(pop=100,elite=0.2)",1,"UMDA(pop=50,elite=0.2)",0.008165141698767808
"UMDA(pop=100,elite=0.2)",2,"SA(T0=2.0,alpha=0.99,flips=1)",0.29955798717797644
"UMDA(pop=50,elite=0.2)",1,"UMDA(pop=100,elite=0.2)",0.008165141698767808
"UMDA(pop=50,elite=0.2)",2,"SA(T0=2.0,alpha=0.99,flips=1)",0.266967497278609
