cluster,algo_variant
0,"SA(T0=2.0,alpha=0.995,flips=2)"
0,HC(flips=2)
0,"GA(pop=50,pc=0.9,pm=0.05)"
0,RS_BIN
0,"GA(pop=100,pc=0.9,pm=0.02)"
0,"GA(pop=50,pc=0.9,pm=0.02)"
0,TABU(tenure=12)
0,TABU(tenure=7)
1,"SA(T0=2.0,alpha=0.99,flips=1)"
1,HC(flips=1)
1,"SA(T0=1.0,alpha=0.995,flips=1)"
2,"UMDA(pop=100,elite=0.2)"
2,"UMDA(pop=50,elite=0.2)"
