,"GA(pop=100,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.02)","GA(pop=50,pc=0.9,pm=0.05)",HC(flips=1),HC(flips=2),RS_BIN,"SA(T0=1.0,alpha=0.995,flips=1)","SA(T0=2.0,alpha=0.99,flips=1)","SA(T0=2.0,alpha=0.995,flips=2)",TABU(tenure=12),TABU(tenure=7),"UMDA(pop=100,elite=0.2)","UMDA(pop=50,elite=0.2)"
"GA(pop=100,pc=0.9,pm=0.02)",0.0,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
"GA(pop=50,pc=0.9,pm=0.02)",4.440892098500626e-16,0.0,0.0,1.9991602100280639,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
"GA(pop=50,pc=0.9,pm=0.05)",4.440892098500626e-16,0.0,0.0,1.9991602100280637,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
HC(flips=1),1.9991602100280639,1.9991602100280639,1.9991602100280637,0.0,1.9991602100280639,1.9991602100280639,0.07345571684174412,0.2450789798582208,1.9991602100280639,1.9991602100280639,1.9991602100280639,1.9991602100280639,0.5629219590813258
HC(flips=2),4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,0.0,0.0,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
RS_BIN,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,0.0,0.0,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
"SA(T0=1.0,alpha=0.995,flips=1)",1.9256897220851488,1.9256897220851488,1.9256897220851488,0.07345571684174412,1.9256897220851488,1.9256897220851488,0.0,0.18259009689476913,1.9256897220851488,1.9256897220851488,1.9256897220851488,1.9256897220851488,0.4641894160782919
"SA(T0=2.0,alpha=0.99,flips=1)",1.7540626572415907,1.7540626572415907,1.7540626572415907,0.2450789798582208,1.7540626572415907,1.7540626572415907,0.18259009689476913,0.0,1.7540626572415907,1.7540626572415907,1.7540626572415907,1.7540626572415907,0.2860603332787748
"SA(T0=2.0,alpha=0.995,flips=2)",4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
TABU(tenure=12),4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,1.4362382509467368
TABU(tenure=7),4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,1.4362382509467368
"UMDA(pop=100,elite=0.2)",4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,1.9991602100280639,4.440892098500626e-16,4.440892098500626e-16,1.9256897220851488,1.7540626572415907,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,1.4362382509467368
"UMDA(pop=50,elite=0.2)",1.4362382509467368,1.4362382509467368,1.4362382509467368,0.5629219590813258,1.4362382509467368,1.4362382509467368,0.4641894160782919,0.2860603332787748,1.4362382509467368,1.4362382509467368,1.4362382509467368,1.4362382509467368,0.0
