domain,budget,view,algo_variant,anchor_mode,value_col,rel_norm,value_transform,instance_weighting,metric,tau,n_boot,anchors_json,Evolution_mean,Evolution_p05,Evolution_p95,LocalSearch_mean,LocalSearch_p05,LocalSearch_p95,Random_mean,Random_p05,Random_p95
bin,2000,REL,"GA(pop=100,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36697430962304156,0.3655696038126867,0.36808704065393844,0.2660513807539172,0.2638259186921232,0.26886079237462646,0.3669743096230416,0.36556960381268677,0.36808704065393844
bin,2000,REL,"GA(pop=50,pc=0.9,pm=0.02)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36697430962304156,0.36556960381268677,0.3680870406539384,0.2660513807539172,0.2638259186921232,0.26886079237462646,0.36697430962304156,0.36556960381268677,0.3680870406539384
bin,2000,REL,"GA(pop=50,pc=0.9,pm=0.05)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36697430962304156,0.36556960381268677,0.3680870406539384,0.2660513807539172,0.2638259186921232,0.26886079237462646,0.36697430962304156,0.36556960381268677,0.3680870406539384
bin,2000,REL,HC(flips=1),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.2959137535744281,0.2945344063549549,0.29764575977250085,0.4081724928511437,0.40470848045499835,0.4109311872900901,0.2959137535744281,0.2945344063549549,0.29764575977250085
bin,2000,REL,HC(flips=2),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3672242997601601,0.36607865237212417,0.36808704065393844,0.26555140047967907,0.2638259186921232,0.2678426952557516,0.3672242997601601,0.36607865237212417,0.36808704065393844
bin,2000,REL,RS_BIN,rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3669743096230416,0.36556960381268677,0.3680870406539384,0.2660513807539172,0.2638259186921232,0.26886079237462646,0.36697430962304156,0.3655696038126867,0.3680870406539384
bin,2000,REL,"SA(T0=1.0,alpha=0.995,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.2959137535744281,0.29453440635495487,0.29764575977250085,0.40817249285114393,0.40470848045499835,0.4109311872900901,0.2959137535744281,0.29453440635495487,0.29764575977250085
bin,2000,REL,"SA(T0=2.0,alpha=0.99,flips=1)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.2959137535744281,0.29453440635495487,0.29764575977250085,0.40817249285114393,0.40470848045499835,0.4109311872900901,0.2959137535744281,0.29453440635495487,0.29764575977250085
bin,2000,REL,"SA(T0=2.0,alpha=0.995,flips=2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3667747737312181,0.365288290291891,0.36790713423438715,0.26645045253756366,0.26418573153122576,0.2694234194162179,0.3667747737312181,0.365288290291891,0.36790713423438715
bin,2000,REL,TABU(tenure=12),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36697430962304156,0.36556960381268677,0.3680870406539384,0.2660513807539172,0.2638259186921232,0.26886079237462646,0.36697430962304156,0.36556960381268677,0.3680870406539384
bin,2000,REL,TABU(tenure=7),rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.36697430962304156,0.36556960381268677,0.3680870406539384,0.2660513807539172,0.2638259186921232,0.26886079237462646,0.36697430962304156,0.36556960381268677,0.3680870406539384
bin,2000,REL,"UMDA(pop=100,elite=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.30846146713782446,0.30041396078524324,0.31797189821312916,0.38307706572435074,0.3640562035737417,0.39917207842951347,0.30846146713782446,0.30041396078524324,0.31797189821312916
bin,2000,REL,"UMDA(pop=50,elite=0.2)",rel_medoid,beta_mean,zscore,logit_clip,variance,cosine,6.0,400,"{""Evolution"": ""GA(pop=100,pc=0.9,pm=0.02)"", ""LocalSearch"": ""HC(flips=1)"", ""Random"": ""RS_BIN""}",0.3082989105494533,0.30019065927667965,0.31782837012106496,0.3834021789010936,0.36434325975787013,0.3996186814466407,0.3082989105494533,0.30019065927667965,0.31782837012106496
