instance_id,problem,domain,target,budget,algo,run_idx,best,success,evals
sphere_d20_i000,sphere,cont,0.001,2000,PSO_STD,29,0.3334975132077828,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,0,3.311494039604801,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,1,5.776297535895048,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,2,3.1146042834293817,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,3,6.0119539659935235,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,4,3.98413303447052,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,5,5.165607038671588,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,6,1.9962631227526775,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,7,5.292972836880203,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,8,4.843176333190235,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,9,3.155451427805665,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,10,4.092230356482568,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,11,2.939352912887008,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,12,4.612238056129812,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,13,3.99376636558197,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,14,8.8007448653144,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,15,3.62928899621072,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,16,3.8420324478822847,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,17,3.232197345192338,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,18,3.7784063275308037,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,19,3.063741119737993,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,20,3.716099743367323,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,21,1.7640986424945297,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,22,3.4319194702908566,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,23,3.8599256399237203,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,24,6.213873142574728,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,25,4.041106468284096,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,26,3.3175586844065923,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,27,6.9291278850620435,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,28,3.3967219762149448,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,PSO_RING,29,7.735273135219045,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,0,31.351597503263086,0,2000
sphere_d20_i000,sphere,cont,0.001,2000,DE,1,39.93472101294196,0,2000
