instance_id,problem,domain,algo,budget,target,successes,trials,succ_rate,beta_mean,beta_p04,beta_p95,mean_best,median_best
onemax_n30_i000,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,6.066666666666666,6.0
onemax_n30_i000,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i002,onemax,bin,GA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i002,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,5.866666666666666,6.0
onemax_n30_i002,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i004,onemax,bin,GA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i004,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,5.666666666666667,6.0
onemax_n30_i004,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i008,onemax,bin,GA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i008,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,6.066666666666666,6.0
onemax_n30_i008,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i010,onemax,bin,GA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n30_i010,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,5.766666666666667,6.0
onemax_n30_i010,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n60_i014,onemax,bin,GA,2000,0.0,27,30,0.9,0.875,0.7803045047163236,0.9696954952836764,0.1,0.0
onemax_n60_i014,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,16.966666666666665,17.0
onemax_n60_i014,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n60_i016,onemax,bin,GA,2000,0.0,29,30,0.9666666666666667,0.9375,0.868189994433572,1.0,0.03333333333333333,0.0
onemax_n60_i016,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,17.033333333333335,17.0
onemax_n60_i016,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
onemax_n60_i018,onemax,bin,GA,2000,0.0,24,30,0.8,0.78125,0.6628806308954045,0.8996193691045955,0.2,0.0
onemax_n60_i018,onemax,bin,RS_BIN,2000,0.0,0,30,0.0,0.03125,0.0,0.08106970544208494,16.733333333333334,17.0
onemax_n60_i018,onemax,bin,SA,2000,0.0,30,30,1.0,0.96875,0.9189302945579151,1.0,0.0,0.0
rastrigin_d10_i003,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,71.39779251626962,71.18512246156041
rastrigin_d10_i003,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,33.04803241346509,31.023652105886917
rastrigin_d10_i003,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,26.83624471570985,27.038238591315576
rastrigin_d10_i003,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,80.84108193665574,79.68358068503049
rastrigin_d10_i005,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,70.00253754763493,67.79854685327763
rastrigin_d10_i005,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,30.859207535397776,31.391854644805797
rastrigin_d10_i005,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,27.446364382521114,26.702189837683164
rastrigin_d10_i005,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,81.32739419461069,82.47670640723314
rastrigin_d10_i007,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,69.03090726937306,71.24154339571714
rastrigin_d10_i007,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,32.63632253489142,31.57599236345262
rastrigin_d10_i007,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,23.422156737088333,24.31661637802563
rastrigin_d10_i007,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,81.50280312234564,81.84538824271013
rastrigin_d10_i009,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,70.43139427440632,72.32524506544874
rastrigin_d10_i009,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,32.74349618355101,34.13954660143579
rastrigin_d10_i009,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,24.910628794128538,22.51906330684956
rastrigin_d10_i009,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,78.82093918761551,78.25187273885649
rastrigin_d10_i017,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,68.9607765065813,72.4895195462067
rastrigin_d10_i017,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,31.512217557252423,29.979494230615998
rastrigin_d10_i017,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,25.648267157116244,24.26186198301461
rastrigin_d10_i017,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,80.43875384691472,82.50452837009513
rastrigin_d20_i011,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,213.37762938051267,214.7089681855536
rastrigin_d20_i011,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,130.15888366974593,130.19496132791267
rastrigin_d20_i011,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,105.6398554800285,109.64388980136093
rastrigin_d20_i011,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,217.21684766501664,222.9519587023288
rastrigin_d20_i013,rastrigin,cont,DE,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,206.63963755289012,207.8411690726624
rastrigin_d20_i013,rastrigin,cont,PSO_RING,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,129.1515518098376,132.02512207191913
rastrigin_d20_i013,rastrigin,cont,PSO_STD,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,122.19399429462246,127.59433352454289
rastrigin_d20_i013,rastrigin,cont,RS_CONT,2000,5.0,0,30,0.0,0.03125,0.0,0.08106970544208494,216.28463077445986,218.79870441470368
rastrigin_d5_i001,rastrigin,cont,DE,2000,5.0,1,30,0.03333333333333333,0.0625,0.0,0.13181000556642797,12.660796421046758,12.905543134696256
rastrigin_d5_i001,rastrigin,cont,PSO_RING,2000,5.0,12,30,0.4,0.40625,0.26562297632331866,0.5468770236766813,5.970755567374867,5.2503226668533
