domain,problem,instance_id,algo_variant,budget,target,successes,trials,beta_mean,beta_p05,beta_p95,mean_best,median_best,min_best,max_best
cont,Ackley,0,ALO,300,easy,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.774133172455157,8.142174670447424,6.338646040436341,8.493420022691787
cont,Ackley,0,ALO,300,med,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.774133172455157,8.142174670447424,6.338646040436341,8.493420022691787
cont,Ackley,0,ALO,300,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.774133172455157,8.142174670447424,6.338646040436341,8.493420022691787
cont,Ackley,0,ALO,500,easy,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.198700301145527,7.154477304368462,6.182160481113641,8.308197277543618
cont,Ackley,0,ALO,500,med,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.198700301145527,7.154477304368462,6.182160481113641,8.308197277543618
cont,Ackley,0,ALO,500,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.198700301145527,7.154477304368462,6.182160481113641,8.308197277543618
cont,Ackley,0,ALO,800,easy,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.378666826463473,7.463361673416447,6.422438939045904,8.361608639444993
cont,Ackley,0,ALO,800,med,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.378666826463473,7.463361673416447,6.422438939045904,8.361608639444993
cont,Ackley,0,ALO,800,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.378666826463473,7.463361673416447,6.422438939045904,8.361608639444993
cont,Ackley,0,ALO,1000,easy,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.194079600252385,7.0919238719706295,6.654155096971184,7.918737151945015
cont,Ackley,0,ALO,1000,med,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.194079600252385,7.0919238719706295,6.654155096971184,7.918737151945015
cont,Ackley,0,ALO,1000,hard,0,10,0.08333333333333333,0.0046521717321972985,0.2384041903808526,7.194079600252385,7.0919238719706295,6.654155096971184,7.918737151945015
