algo,cont_improve_rel,cont_auc_progress,cont_p10_progress,cont_p50_progress,cont_p90_progress,cont_stagnation_frac,cont_div_mean,cont_div_decay,cont_step_mean,cont_step_decay,cont_step_burst,comb_improve_rel,comb_auc_progress,comb_p10_progress,comb_p50_progress,comb_p90_progress,comb_stagnation_frac,comb_div_mean,comb_div_decay,comb_step_mean,comb_step_decay,comb_step_burst
DE,0.22919646137014607,0.6333333333016345,0.0,0.8444444444021795,0.8444444444021795,0.5777777777777777,0.06316478179400965,0.5896421133678604,0.2023806814349753,0.0,0.8267830714357144,0.01669759606418281,0.7249999999997051,0.0,0.9666666666662735,0.9666666666662735,0.5166666666666667,0.21544287262199233,0.34790257536862657,0.14457777777777778,0.0,1.1101177286098785
ES,0.0,0.0,0.0,0.0,0.0,1.0,0.0810034328364806,0.9999999998078972,0.8360801092073172,0.999999999957796,0.0,0.021421863495250045,0.48333333333291423,0.0,0.0,0.0,0.03333333333333333,0.05200113950290945,0.41976493375715473,0.03505448717948718,1.1626004364401858,0.14973318121681772
GWO,0.2114232927761438,0.3749999999996808,0.0,0.4999999999995743,0.4999999999995743,0.75,0.01792103278899549,0.5131483111752699,0.07752371476447022,0.4999999999915085,0.671063899323549,0.0035825849081026354,0.27499999999962754,0.0,0.36666666666617004,0.36666666666617004,0.8166666666666667,0.3829978199082648,1.008477251348196,0.2419361111111111,0.0,0.7078423557378467
HC,0.4884280916403469,0.854241108386341,0.5907703902491432,0.9300272314752838,0.9802443381351674,0.915419501133787,0.0,0.0,0.5395953623997081,0.0,0.3280327329666147,0.07760338380278928,0.9497526969068224,0.9580186274451582,0.9666666666664964,0.9666666666664964,0.9537414965986393,0.0,0.0,0.005333333333333333,0.0,1.8666666665733334
PSO,0.048354130037542555,0.37499999979230936,0.0,0.4999999997230793,0.4999999997230793,0.75,0.019050243872651335,0.6060856569580816,0.037250042610578515,0.4999999999645309,0.6087590725223457,0.0,0.0,0.0,0.0,0.0,1.0,0.40046498784831025,0.9970884042143197,0.2576916666666666,0.0,0.7074657626073406
SA,0.5260857712183964,0.8386727976953388,0.5283985430706356,0.9047572067210009,0.9946170156776235,0.9102040816326531,0.0,0.0,0.437907448095484,0.0,0.33649665150837466,0.06851794414174019,0.9538574635847296,0.7933941910458515,0.9999999999999202,0.9999999999999202,0.910204081632653,0.0,0.0,0.02266666666666667,0.0,3.4025750770810728
WOA,0.11998417575131194,0.37499999999934475,0.0,0.4999999999991262,0.4999999999991262,0.75,0.04582225321548785,0.5093251754926797,0.15619763536591116,0.49999999999383155,0.6812384634679418,0.016601684224407172,0.549999999999429,0.0,0.7333333333325721,0.7333333333325721,0.6333333333333333,0.22301793264849773,0.19920954916189412,0.17381944444444442,0.0,1.1727182982722757
