new_cluster_id,left_id,right_id,distance,size
7,3,5,0.051161827370467594,2
8,2,4,0.08201538297781308,2
9,0,6,0.5061275514608945,2
10,8,9,0.8466754760664792,4
11,1,10,1.121534511364865,5
12,7,11,1.5257065535417784,7
