algo,cluster,nearest_neighbor,nn_distance
DE,2,WOA,0.5061275514608945
ES,0,PSO,0.9669425964585557
GWO,2,PSO,0.08201538297781308
HC,1,SA,0.051161827370467594
PSO,2,GWO,0.08201538297781308
SA,1,HC,0.051161827370467594
WOA,2,DE,0.5061275514608945
